"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.022709120E0,3.880335739E-1,2.433811724E-1,8.345832676E-2,8.850029707E-1,1.343356043E2,2.120469325E1,-2.147017514E1,1.285845308E2
1.039375057E0,3.688414873E-1,2.482399791E-1,8.544325829E-2,8.916458488E-1,1.367116269E2,2.126268732E1,-2.231226818E1,1.308137258E2
1.056040995E0,3.487894851E-1,2.507107258E-1,8.823236078E-2,8.987241387E-1,1.391734150E2,2.122370142E1,-2.289792091E1,1.332320540E2
1.072706932E0,3.276167064E-1,2.500992417E-1,9.034980834E-2,9.066171050E-1,1.417516341E2,2.089073903E1,-2.322159378E1,1.359256944E2
1.089372870E0,3.051850485E-1,2.455780059E-1,9.106669575E-2,9.155656099E-1,1.444614056E2,2.015326491E1,-2.320992785E1,1.389504544E2
1.106038807E0,2.816971443E-1,2.389727384E-1,8.993176371E-2,9.249059558E-1,1.472769565E2,1.909198320E1,-2.304086602E1,1.421955676E2
1.122704745E0,2.573124429E-1,2.338407785E-1,8.722956479E-2,9.335415363E-1,1.501786968E2,1.792681407E1,-2.306092099E1,1.454943112E2
1.139370682E0,2.323787719E-1,2.320973873E-1,8.373637497E-2,9.408077002E-1,1.531256789E2,1.681631905E1,-2.344077431E1,1.487384835E2
1.156036620E0,2.073820860E-1,2.337969840E-1,8.021545410E-2,9.465184212E-1,1.560620405E2,1.582577357E1,-2.416186217E1,1.518756254E2
1.172702557E0,1.833029844E-1,2.374678105E-1,7.753188908E-2,9.507880211E-1,1.588755825E2,1.499889572E1,-2.503295311E1,1.548276940E2
1.189368495E0,1.618030137E-1,2.387582511E-1,7.409689575E-2,9.546328783E-1,1.613768698E2,1.403514654E1,-2.558659550E1,1.575582681E2
1.206034432E0,1.430544040E-1,2.355275154E-1,6.845269352E-2,9.588412046E-1,1.635507396E2,1.272554206E1,-2.559976530E1,1.601262174E2
1.222700370E0,1.265434012E-1,2.300621271E-1,6.055979803E-2,9.630112648E-1,1.654602120E2,1.115476561E1,-2.532662598E1,1.625141327E2
1.239366307E0,1.121134124E-1,2.231068164E-1,5.117709562E-2,9.669719934E-1,1.671256822E2,9.449789427E0,-2.483463853E1,1.646878302E2
1.256032245E0,9.932577476E-2,2.153678536E-1,4.212640598E-2,9.705547094E-1,1.685993062E2,7.847653656E0,-2.418499159E1,1.666296508E2
1.272698182E0,8.804091571E-2,2.080401182E-1,3.501132131E-2,9.735205770E-1,1.698981752E2,6.562496803E0,-2.350929359E1,1.682979715E2
1.289364120E0,7.729014297E-2,2.050184906E-1,3.078274801E-2,9.752159119E-1,1.711343602E2,5.730918212E0,-2.327322026E1,1.697559113E2
1.306030057E0,6.414510914E-2,2.055670470E-1,2.926113456E-2,9.761000872E-1,1.726444619E2,5.220898720E0,-2.342536272E1,1.713972281E2
1.322695995E0,4.712902660E-2,2.075283676E-1,3.067277744E-2,9.766114950E-1,1.745974101E2,4.980289868E0,-2.373193153E1,1.734273088E2
1.339361932E0,2.988681314E-2,2.055168152E-1,3.188091144E-2,9.776774645E-1,1.765747134E2,4.670106658E0,-2.357522030E1,1.755230202E2
1.356027870E0,1.256465894E-2,2.004645914E-1,3.373233229E-2,9.790394306E-1,1.785601583E2,4.431149570E0,-2.305893789E1,1.776251184E2
1.372693807E0,3.449809803E-3,-1.932371259E-1,-3.832332790E-2,-9.803972840E-1,1.796046801E2,4.575179946E0,-2.228182945E1,1.795017533E2
1.389359745E0,2.118587500E-2,-1.888238043E-1,-4.406743869E-2,-9.807929397E-1,1.775720959E2,4.848169270E0,-2.185514667E1,-1.784616881E2
1.406025682E0,3.979092398E-2,-1.861694157E-1,-4.948683456E-2,-9.804635048E-1,1.754390919E2,5.075460189E0,-2.165413603E1,-1.763232841E2
1.422691620E0,5.495007336E-2,-1.833160222E-1,-5.309333652E-2,-9.800800085E-1,1.737000122E2,5.172263551E0,-2.141765759E1,-1.745606988E2
1.439357557E0,6.711149588E-2,-1.803438216E-1,-5.644717813E-2,-9.796866179E-1,1.723038045E2,5.315481679E0,-2.115777407E1,-1.731558021E2
1.456023495E0,7.922885912E-2,-1.792530417E-1,-6.008872762E-2,-9.787647724E-1,1.709115162E2,5.488723681E0,-2.112566315E1,-1.717685040E2
1.472689432E0,9.446524224E-2,-1.796827018E-1,-6.407411397E-2,-9.770798087E-1,1.691589159E2,5.621363257E0,-2.129895473E1,-1.700133312E2
1.489355370E0,1.107274730E-1,-1.796901673E-1,-6.615898013E-2,-9.752301574E-1,1.672854942E2,5.501171680E0,-2.141556941E1,-1.680857754E2
1.506021307E0,1.264587080E-1,-1.761435568E-1,-6.651227921E-2,-9.739392996E-1,1.654699957E2,5.227731106E0,-2.109579757E1,-1.661780012E2
1.522687245E0,1.435999329E-1,-1.694736928E-1,-6.489346921E-2,-9.728548527E-1,1.634875744E2,4.748196751E0,-2.038850542E1,-1.640610921E2
1.539353182E0,1.614774997E-1,-1.663661897E-1,-6.405267864E-2,-9.706413150E-1,1.614146680E2,4.312432658E0,-2.009940407E1,-1.618739696E2
1.556019120E0,1.761924938E-1,-1.730905324E-1,-6.780287623E-2,-9.666429758E-1,1.597038773E2,4.305768879E0,-2.100971311E1,-1.601386765E2
1.572685057E0,1.888854888E-1,-1.831834763E-1,-7.386320829E-2,-9.619305134E-1,1.582245005E2,4.521001903E0,-2.235368695E1,-1.586751210E2
1.589350995E0,2.021627377E-1,-1.925962716E-1,-7.750803977E-2,-9.570942521E-1,1.566730828E2,4.411248688E0,-2.357843130E1,-1.570670981E2
1.606016932E0,2.183189302E-1,-2.013017982E-1,-7.914982736E-2,-9.516037703E-1,1.547793703E2,3.959683221E0,-2.468813397E1,-1.550242446E2
1.622682870E0,2.357103955E-1,-2.070706338E-1,-8.104889840E-2,-9.460409284E-1,1.527329963E2,3.539258545E0,-2.546773308E1,-1.528187607E2
1.639348807E0,2.550622018E-1,-2.161761671E-1,-8.793794364E-2,-9.383379221E-1,1.504454581E2,3.516279179E0,-2.677909764E1,-1.504234565E2
1.656014745E0,2.760368379E-1,-2.279610783E-1,-9.559225291E-2,-9.288161993E-1,1.479523751E2,3.372259465E0,-2.844023766E1,-1.477517370E2
1.672680682E0,2.993072282E-1,-2.484309524E-1,-1.018913612E-1,-9.155956507E-1,1.451680032E2,2.533621651E0,-3.105885125E1,-1.444991178E2
1.689346620E0,3.232513658E-1,-2.824399769E-1,-1.134891585E-1,-8.960225582E-1,1.422806637E2,1.461058547E0,-3.541652419E1,-1.407914498E2
1.706012557E0,3.434912770E-1,-3.208839297E-1,-1.302678585E-1,-8.729705215E-1,1.398205502E2,5.274956214E-1,-4.052171310E1,-1.372380142E2
1.722678495E0,3.575900422E-1,-3.580884337E-1,-1.481405348E-1,-8.496801853E-1,1.380954683E2,-3.565154784E-1,-4.559965393E1,-1.342023071E2
1.739344432E0,3.648915358E-1,-3.947082758E-1,-1.671362817E-1,-8.265137672E-1,1.371981844E2,-1.066055543E0,-5.075400577E1,-1.318530541E2
1.756010370E0,3.665763679E-1,-4.325934947E-1,-1.882300675E-1,-8.019065261E-1,1.369907454E2,-1.576525469E0,-5.628413770E1,-1.300234647E2
1.772676307E0,3.656768691E-1,-4.691371918E-1,-2.120364457E-1,-7.753910422E-1,1.371015114E2,-1.741000403E0,-6.195799809E1,-1.284572919E2
1.789342245E0,3.630776056E-1,-5.002220273E-1,-2.399376184E-1,-7.485870123E-1,1.374213539E2,-5.977232601E-1,-6.739122907E1,-1.278530626E2
1.806008182E0,3.607192897E-1,-5.222928524E-1,-2.665875554E-1,-7.252743244E-1,1.377112467E2,1.815054070E0,-7.179370657E1,-1.284263497E2
1.822674120E0,3.629331613E-1,-5.332843065E-1,-2.866245806E-1,-7.083316445E-1,1.374391177E2,4.062660497E0,-7.447964011E1,-1.288295694E2
1.839340057E0,3.703809371E-1,-5.348019004E-1,-2.984104455E-1,-6.983953714E-1,1.365217749E2,4.725626526E0,-7.547936980E1,-1.277816262E2
1.856005995E0,3.818250801E-1,-5.302320123E-1,-3.028446734E-1,-6.937929988E-1,1.351064436E2,3.445882895E0,-7.524189175E1,-1.250041382E2
1.872671932E0,3.944704080E-1,-5.221433640E-1,-3.021883368E-1,-6.931389570E-1,1.335341023E2,1.468792003E0,-7.420558428E1,-1.218219408E2
1.889337870E0,4.044338784E-1,-5.168558955E-1,-2.988944948E-1,-6.927880645E-1,1.322886882E2,-7.838028881E-1,-7.331731857E1,-1.188658294E2
1.906003807E0,4.105944938E-1,-5.183041692E-1,-2.946798503E-1,-6.898816824E-1,1.315156291E2,-3.768144578E0,-7.316147753E1,-1.156836566E2
1.922669745E0,4.142947560E-1,-5.241783857E-1,-2.927201390E-1,-6.840407848E-1,1.310501765E2,-6.917885560E0,-7.367110496E1,-1.124122430E2
1.939335682E0,4.170529614E-1,-5.306996703E-1,-2.935826480E-1,-6.769297719E-1,1.307026641E2,-9.701389944E0,-7.444464966E1,-1.093488158E2
2.011554901E0,4.305688626E-1,-4.914370775E-1,-2.999265194E-1,-6.950857043E-1,1.289926660E2,-1.061548372E0,-7.029817634E1,-1.157005075E2
2.028220890E0,4.341488919E-1,-4.857949913E-1,-3.012980521E-1,-6.962308884E-1,1.285377022E2,-3.751953173E-1,-6.972949169E1,-1.158457249E2
2.044886880E0,4.378192382E-1,-4.830215871E-1,-3.017999232E-1,-6.956444979E-1,1.280703549E2,-4.994090407E-1,-6.943760256E1,-1.152836167E2
2.061552870E0,4.420417763E-1,-4.820879698E-1,-3.010030091E-1,-6.939650178E-1,1.275315455E2,-1.365045353E0,-6.926309886E1,-1.140645498E2
2.078218859E0,4.456675344E-1,-4.834010601E-1,-3.009079099E-1,-6.907664537E-1,1.270678893E2,-2.468910974E0,-6.939751006E1,-1.126319258E2
2.094884849E0,4.489885855E-1,-4.850567877E-1,-3.017534018E-1,-6.870764494E-1,1.266423777E2,-3.445930699E0,-6.963748821E1,-1.112755938E2
2.111550838E0,4.615216571E-1,-4.794528484E-1,-3.085541129E-1,-6.796448231E-1,1.250293182E2,-3.784521851E0,-6.947578611E1,-1.090173219E2
2.128216828E0,4.808751769E-1,-4.681176245E-1,-3.215493262E-1,-6.680052280E-1,1.225148464E2,-3.324630572E0,-6.917332018E1,-1.062095302E2
2.144882817E0,4.969659598E-1,-4.588719010E-1,-3.361152411E-1,-6.553533077E-1,1.204010566E2,-2.521042759E0,-6.931265866E1,-1.039096754E2
2.161548807E0,5.045089344E-1,-4.571783841E-1,-3.473102748E-1,-6.448521018E-1,1.194024805E2,-2.247722831E0,-7.006283762E1,-1.023475085E2
2.178214797E0,5.156950514E-1,-4.565566182E-1,-3.634801209E-1,-6.272932887E-1,1.179121510E2,-2.670034516E0,-7.138405411E1,-9.923483435E1
2.194880786E0,5.230306763E-1,-4.577456713E-1,-3.775440156E-1,-6.118564606E-1,1.169284726E2,-3.254726237E0,-7.276228328E1,-9.655241626E1
2.211546776E0,5.247068375E-1,-4.596960545E-1,-3.857075870E-1,-6.038144827E-1,1.167029804E2,-3.399060626E0,-7.372120231E1,-9.547081623E1
2.228212765E0,5.315063491E-1,-4.562412500E-1,-3.953509331E-1,-5.941738486E-1,1.157854213E2,-3.204208031E0,-7.424600358E1,-9.394720758E1
2.244878755E0,5.417457348E-1,-4.492710233E-1,-4.049564600E-1,-5.836757421E-1,1.143948843E2,-2.998324567E0,-7.441310829E1,-9.199076929E1
2.261544745E0,5.516534648E-1,-4.401101768E-1,-4.121913910E-1,-5.762636065E-1,1.130389567E2,-2.207297020E0,-7.415683105E1,-9.083174134E1
2.278210734E0,5.665857596E-1,-4.240869582E-1,-4.221204519E-1,-5.665202141E-1,1.109750362E2,-4.608367517E-1,-7.350460171E1,-8.964921858E1
2.294876724E0,5.828832529E-1,-4.062486291E-1,-4.284214377E-1,-5.582689643E-1,1.086928163E2,9.000830959E-1,-7.236983895E1,-8.818708371E1
2.311542713E0,5.968389071E-1,-3.874243498E-1,-4.274058640E-1,-5.576826334E-1,1.067123301E2,2.440368116E0,-7.044225027E1,-8.783801819E1
2.328208703E0,6.134223722E-1,-3.607342243E-1,-4.232510328E-1,-5.607516170E-1,1.043252474E2,4.812010450E0,-6.749227143E1,-8.807898848E1
2.344874692E0,6.300452563E-1,-3.270833790E-1,-4.215050638E-1,-5.642631650E-1,1.018930769E2,8.390192982E0,-6.419183475E1,-8.896274253E1
