"Time (s)","Pressure (hPa)"
3.776851365E1,1.001396912E3
3.780851313E1,1.001324646E3
3.784850969E1,1.001255066E3
3.788851490E1,1.001216248E3
3.792852938E1,1.001193054E3
3.796851344E1,1.001183533E3
3.800851287E1,1.001194763E3
3.804851386E1,1.001320984E3
3.808851495E1,1.001334412E3
3.812850709E1,1.001291931E3
3.816853480E1,1.001264099E3
3.820851360E1,1.001247253E3
3.824851339E1,1.001242126E3
3.828851391E1,1.001314880E3
3.832852193E1,1.001354187E3
3.836852433E1,1.001347839E3
3.840851594E1,1.001433777E3
3.844851308E1,1.001443298E3
3.848850974E1,1.001415222E3
3.852851026E1,1.001356873E3
3.856851042E1,1.001307312E3
3.860851610E1,1.001278503E3
3.864851365E1,1.001299500E3
3.868851344E1,1.001295105E3
3.872851386E1,1.001305847E3
3.876851365E1,1.001273865E3
3.880852834E1,1.001266785E3
3.884891464E1,1.001273132E3
3.888850948E1,1.001338562E3
3.892851396E1,1.001372009E3
3.896851448E1,1.001381775E3
3.900850198E1,1.001449158E3
3.904852360E1,1.001464050E3
3.908851365E1,1.001414978E3
3.912851339E1,1.001353455E3
3.916851365E1,1.001317810E3
3.920851365E1,1.001382996E3
3.924851485E1,1.001351501E3
3.928889933E1,1.001331482E3
3.932851558E1,1.001379333E3
3.936850975E1,1.001432800E3
3.940851417E1,1.001445984E3
3.944850157E1,1.001450134E3
3.948852464E1,1.001467712E3
3.952853032E1,1.001462585E3
3.956851386E1,1.001381531E3
3.960851000E1,1.001383240E3
3.964852344E1,1.001415466E3
3.968852167E1,1.001423279E3
3.972852115E1,1.001400818E3
3.976851360E1,1.001366638E3
3.980850985E1,1.001339050E3
3.984851537E1,1.001315613E3
3.988850204E1,1.001307800E3
3.992852068E1,1.001347351E3
3.996851334E1,1.001436951E3
4.000851360E1,1.001556580E3
4.004850985E1,1.001645935E3
4.008851495E1,1.001629578E3
4.012853183E1,1.001578796E3
4.016851339E1,1.001509216E3
4.020851339E1,1.001441101E3
4.024850974E1,1.001398865E3
4.028851469E1,1.001484802E3
4.032854230E1,1.001501160E3
4.036853047E1,1.001432068E3
4.040851506E1,1.001409607E3
4.044851313E1,1.001377380E3
4.048850974E1,1.001353455E3
4.052851360E1,1.001343689E3
4.056851521E1,1.001432312E3
4.060852938E1,1.001467712E3
4.064853021E1,1.001495300E3
4.068850985E1,1.001606873E3
4.072851422E1,1.001630798E3
4.076936303E1,1.001561951E3
4.080852162E1,1.001471863E3
4.084851334E1,1.001408630E3
4.088850974E1,1.001447937E3
4.092851000E1,1.001431091E3
4.096851355E1,1.001455994E3
4.100851391E1,1.001454285E3
4.104854006E1,1.001417175E3
4.108851334E1,1.001414734E3
4.112851339E1,1.001425476E3
4.116851396E1,1.001434753E3
4.120891376E1,1.001577820E3
4.124853063E1,1.001597107E3
4.128851344E1,1.001570984E3
4.132850980E1,1.001571472E3
4.136851448E1,1.001544861E3
4.140852350E1,1.001514343E3
4.144851344E1,1.001493347E3
4.148869511E1,1.001460144E3
4.152851339E1,1.001431824E3
4.156851344E1,1.001422302E3
4.160851100E1,1.001404480E3
4.164881214E1,1.001398621E3
4.168853584E1,1.001404480E3
4.172851542E1,1.001463074E3
4.176850974E1,1.001446960E3
4.180851537E1,1.001447937E3
4.184851412E1,1.001463318E3
4.188852011E1,1.001475525E3
4.192854256E1,1.001466736E3
4.196850980E1,1.001507996E3
4.200851365E1,1.001531433E3
4.204851370E1,1.001528992E3
4.208921303E1,1.001502869E3
4.212851386E1,1.001497498E3
4.216851391E1,1.001564880E3
4.220850974E1,1.001517273E3
4.224851042E1,1.001505066E3
4.228852266E1,1.001486511E3
4.232852600E1,1.001477722E3
4.236852021E1,1.001481384E3
4.240851344E1,1.001475525E3
4.244854276E1,1.001473572E3
4.248851459E1,1.001469910E3
4.252852943E1,1.001476013E3
4.256852011E1,1.001580261E3
4.260851334E1,1.001591248E3
4.264850975E1,1.001591980E3
4.268851100E1,1.001619568E3
4.272849922E1,1.001592712E3
4.276851589E1,1.001576843E3
4.280851339E1,1.001654724E3
4.284851308E1,1.001669861E3
4.288851339E1,1.001646667E3
4.292852303E1,1.001607117E3
4.296852813E1,1.001568054E3
4.300853954E1,1.001538269E3
4.304850141E1,1.001577820E3
4.308850980E1,1.001542419E3
4.312851438E1,1.001543152E3
4.316850157E1,1.001606628E3
4.320850974E1,1.001622986E3
4.324850980E1,1.001579285E3
4.328851339E1,1.001530701E3
4.332850975E1,1.001507263E3
4.336852350E1,1.001493591E3
4.340851501E1,1.001518494E3
4.344851339E1,1.001626404E3
4.348851334E1,1.001675476E3
4.352850974E1,1.001711609E3
4.356851386E1,1.001695251E3
4.360850183E1,1.001621277E3
4.364851370E1,1.001578308E3
4.368851360E1,1.001548523E3
4.372851339E1,1.001602478E3
4.376851391E1,1.001622742E3
4.380851485E1,1.001578796E3
4.384851532E1,1.001559265E3
4.388851360E1,1.001533630E3
4.392851339E1,1.001525330E3
4.396850975E1,1.001590759E3
4.400851157E1,1.001664734E3
4.404850245E1,1.001746033E3
4.408851344E1,1.001872253E3
4.412851365E1,1.001882019E3
4.416851339E1,1.001814636E3
4.420850954E1,1.001751892E3
4.424852329E1,1.001654968E3
4.428851568E1,1.001609802E3
4.432850954E1,1.001622742E3
4.436851365E1,1.001636658E3
4.440851350E1,1.001610046E3
4.444851511E1,1.001560974E3
4.448851568E1,1.001531677E3
4.452853980E1,1.001522644E3
4.456851360E1,1.001529724E3
4.460851376E1,1.001626648E3
4.464851365E1,1.001735535E3
4.468851485E1,1.001804138E3
4.472854141E1,1.001825134E3
4.476851318E1,1.001716248E3
4.480851365E1,1.001653015E3
4.484850980E1,1.001626892E3
4.488851500E1,1.001688904E3
4.492851907E1,1.001672302E3
4.496851646E1,1.001642029E3
4.500850975E1,1.001608582E3
4.504851350E1,1.001576599E3
4.508851396E1,1.001571228E3
4.512851360E1,1.001613220E3
4.516852032E1,1.001702087E3
4.520851339E1,1.001778503E3
4.524851344E1,1.001861023E3
4.528850977E1,1.001964539E3
4.532851431E1,1.001915466E3
4.536896993E1,1.001790466E3
4.540851358E1,1.001695251E3
4.544851347E1,1.001629578E3
4.548850962E1,1.001639099E3
4.552851399E1,1.001724548E3
4.556851321E1,1.001721375E3
4.560851488E1,1.001684509E3
4.564851394E1,1.001643005E3
4.568851321E1,1.001618835E3
4.572850957E1,1.001676941E3
4.576851316E1,1.001681824E3
