"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.438710755E1,-1.909472466E0,2.273181534E1,1.318445325E0
4.440377422E1,-2.825923443E0,1.368455315E1,3.687339783E0
4.442044089E1,-2.471785784E0,1.156929779E1,3.873979807E0
4.443710755E1,-1.569691658E0,1.031067276E1,1.244267821E0
4.445377422E1,-5.647061467E-1,8.693124771E0,-1.414158225E0
4.447044088E1,5.455635786E-1,8.212167740E0,-2.679961324E-1
4.448710755E1,3.469592929E-1,8.468199730E0,1.856830359E0
4.450377422E1,1.722832322E-1,6.850651264E0,2.151147604E0
4.452044088E1,1.983649969E0,5.391029358E0,1.031306505E0
4.453710755E1,1.069591761E0,2.909672260E0,-3.924229145E0
4.455377421E1,3.254238665E-1,1.677368641E0,-3.125026464E0
4.457044088E1,-3.206382275E0,2.529213428E0,-2.380858421E0
4.458710754E1,-3.613162279E0,8.896514893E0,-1.923829436E0
4.460377421E1,-3.613162279E0,8.896514893E0,-1.923829436E0
4.462044088E1,-1.875972986E0,1.892004776E1,4.371686935E0
4.463710754E1,-2.663211584E0,1.806102562E1,-1.409372568E0
4.465377421E1,-2.663211584E0,1.806102562E1,-1.409372568E0
4.467044088E1,1.586441398E0,1.320120239E1,-3.869194269E0
4.468710754E1,2.469393015E0,1.088016415E1,-4.522434711E0
4.470377421E1,4.067798615E0,9.131011009E0,-3.364308596E0
4.472044087E1,5.144568920E0,7.731209755E0,5.934200287E-1
4.473710754E1,4.287938118E0,6.008377552E0,2.380858421E0
4.475377421E1,3.605983734E0,5.391029358E0,1.332802176E0
4.477044087E1,4.905286431E-1,6.879364967E0,-1.866401672E0
4.478710754E1,4.091726840E-1,9.848857880E0,-3.481556892E0
4.480377420E1,2.995813847E0,9.588040352E0,-1.356730461E0
4.482044087E1,3.402593851E0,7.573283672E0,2.000399828E0
4.483710754E1,3.345165968E0,4.094119549E0,8.135596663E-2
4.485377420E1,2.416750908E0,1.356730461E0,2.246860504E0
4.487044087E1,2.009970903E0,1.643869162E0,3.062813044E0
4.488710753E1,-3.610769272E0,6.424728870E0,-4.536791801E0
4.490377420E1,-5.709274769E0,7.154539585E0,3.263810158E0
4.492044086E1,-6.379265308E0,1.446461296E1,1.560120344E0
4.493710753E1,-2.677568436E0,1.474696636E1,1.667797327E0
4.495377420E1,2.629712105E0,2.005903244E1,4.350151539E0
4.497044086E1,4.809573591E-1,2.540220451E1,-1.143769264E0
4.498710753E1,-2.830709219E0,1.847737694E1,9.571290761E-2
4.500377420E1,-2.395215511E0,1.538345718E1,1.009771109E0
4.502044086E1,-9.355936646E-1,1.049013424E1,1.586441398E0
4.503710753E1,-1.402194023E0,6.675975323E0,1.854437590E0
4.505377419E1,-1.402194023E0,6.675975323E0,1.854437590E0
4.507044086E1,-3.081955671E0,7.590033531E0,2.648854733E0
4.508710752E1,7.776673436E-1,1.063370419E1,-4.163511395E-1
4.510377419E1,3.785445452E0,1.002592659E1,-3.603590965E0
4.512044086E1,-1.294517040E0,4.465006828E0,-3.311666489E0
4.513710752E1,-1.892722726E0,2.988635540E0,-1.452443361E0
4.515377419E1,-1.526620865E0,1.069591761E0,-2.043470621E0
4.517044086E1,-1.531406492E-1,9.619147182E-1,-7.106683254E-1
4.518710752E1,8.374879509E-2,3.424129248E0,8.757730722E-1
4.520377419E1,1.674975872E0,7.077969551E0,6.508477330E-1
4.522044085E1,6.795616150E-1,1.596012688E1,2.275574446E0
4.523710752E1,6.795616150E-1,1.596012688E1,2.275574446E0
4.525377419E1,-3.897907972E0,1.561316776E1,-3.105883837E0
4.527044085E1,-3.689732552E0,1.409851074E1,-6.953542709E0
4.528710752E1,1.246660590E0,1.517767429E1,-7.054041386E0
4.530377418E1,4.280759811E0,1.398604870E1,-2.435893536E0
4.532044085E1,2.914458036E0,1.089691448E1,-6.388836503E-1
4.533710752E1,2.038684845E0,8.865407944E0,-1.196411345E-2
4.535377418E1,-4.307080805E-2,5.721239090E0,3.771088600E0
4.537044085E1,4.689932466E-1,4.910071850E0,2.924029350E0
4.538710751E1,9.571290575E-3,4.297509670E0,5.694918036E-1
4.540377418E1,9.667003751E-1,4.878965378E0,-2.388036966E0
4.542044084E1,1.622333765E0,4.620540619E0,-3.220739365E0
