"Time (s)","Pressure (hPa)"
8.702515133E1,1.008098816E3
8.706546534E1,1.008058289E3
8.710513691E1,1.008063660E3
8.714513576E1,1.008091248E3
8.718515300E1,1.008166931E3
8.722513581E1,1.008293884E3
8.726513795E1,1.008434265E3
8.730556086E1,1.008570251E3
8.734515175E1,1.008673767E3
8.738513503E1,1.008705017E3
8.742513993E1,1.008622742E3
8.746526347E1,1.008494324E3
8.750516159E1,1.008349792E3
8.754513633E1,1.008200867E3
8.758514159E1,1.008100525E3
8.762514987E1,1.008033630E3
8.766524066E1,1.007978455E3
8.770514399E1,1.007925720E3
8.774514081E1,1.007894714E3
8.778520774E1,1.007876404E3
8.782521826E1,1.007875916E3
8.786516081E1,1.007907410E3
8.790564029E1,1.007998962E3
8.794514185E1,1.008018738E3
8.798515670E1,1.008010437E3
8.802514982E1,1.008005310E3
8.806524467E1,1.007986755E3
8.810513524E1,1.007973083E3
8.814513691E1,1.007994080E3
8.818514316E1,1.008006042E3
8.822513680E1,1.008050964E3
8.826513618E1,1.008090027E3
8.830514164E1,1.008073425E3
8.834513602E1,1.008051453E3
8.838572691E1,1.008112244E3
8.842513545E1,1.008086609E3
8.846513998E1,1.008117859E3
8.850527430E1,1.008119812E3
8.854513769E1,1.008089783E3
8.858572711E1,1.008094421E3
8.862514060E1,1.008075867E3
8.866513628E1,1.008082703E3
8.870516263E1,1.008103699E3
8.874513586E1,1.008111023E3
8.878517248E1,1.008114929E3
8.882513524E1,1.008120300E3
8.886516123E1,1.008114929E3
8.890513576E1,1.008105652E3
8.894513545E1,1.008078308E3
8.898514414E1,1.008076843E3
8.902514878E1,1.008068054E3
8.906516706E1,1.008077087E3
8.910547951E1,1.008078796E3
8.914529909E1,1.008089783E3
8.918563925E1,1.008088074E3
8.922513842E1,1.008100281E3
8.926513545E1,1.008111023E3
8.930514461E1,1.008113464E3
8.934513727E1,1.008101257E3
8.938514144E1,1.008103455E3
8.942541467E1,1.008117859E3
8.946559696E1,1.008150330E3
8.950515227E1,1.008162781E3
8.954595180E1,1.008196472E3
8.958515092E1,1.008241394E3
8.962513498E1,1.008293884E3
8.966514946E1,1.008327820E3
8.970513649E1,1.008349060E3
8.974571019E1,1.008382263E3
8.978514993E1,1.008452820E3
8.982513592E1,1.008537781E3
8.986545248E1,1.008585876E3
8.990515165E1,1.008639587E3
8.994513826E1,1.008698914E3
8.998513977E1,1.008777283E3
9.002516972E1,1.008833435E3
9.006513790E1,1.008798767E3
9.010513743E1,1.008662537E3
9.014514826E1,1.008466248E3
9.018513592E1,1.008278503E3
9.022529758E1,1.008110779E3
9.026565394E1,1.007965515E3
9.030523935E1,1.007866638E3
9.034516925E1,1.007801697E3
9.038513602E1,1.007801453E3
9.042516284E1,1.007823425E3
9.046571612E1,1.007840759E3
9.050513550E1,1.007847107E3
9.054513665E1,1.007852234E3
9.058514263E1,1.007855164E3
9.062541717E1,1.007881531E3
9.066515279E1,1.007919617E3
9.070516045E1,1.007963562E3
9.074514164E1,1.008014832E3
9.078514836E1,1.008078308E3
9.082513623E1,1.008131042E3
9.086513758E1,1.008189148E3
9.090544013E1,1.008277283E3
9.094513602E1,1.008403992E3
9.098513555E1,1.008556091E3
9.102514336E1,1.008686462E3
9.106526644E1,1.008776062E3
9.110532107E1,1.008790710E3
9.114516180E1,1.008727722E3
9.118513779E1,1.008573669E3
9.122538206E1,1.008406921E3
9.126515868E1,1.008235535E3
9.130516165E1,1.008097351E3
9.134514029E1,1.007993591E3
9.138591081E1,1.007911316E3
9.142514316E1,1.007867615E3
9.146599295E1,1.007862244E3
9.150514211E1,1.007890564E3
9.154515524E1,1.007915466E3
9.158560790E1,1.007909119E3
9.162513920E1,1.007890320E3
9.166513555E1,1.007887634E3
9.170513638E1,1.007896912E3
9.174513612E1,1.007945740E3
9.178513644E1,1.007983093E3
9.182513566E1,1.007998718E3
9.186515045E1,1.008031921E3
9.190513581E1,1.008069031E3
9.194569534E1,1.008111755E3
9.198513909E1,1.008189392E3
9.202513529E1,1.008309998E3
9.206584769E1,1.008461853E3
9.210585883E1,1.008580017E3
9.214513638E1,1.008657898E3
9.218539461E1,1.008731628E3
9.222555993E1,1.008816833E3
9.226514316E1,1.008879578E3
9.230514185E1,1.008842224E3
9.234513586E1,1.008685730E3
9.238513555E1,1.008478210E3
9.242513566E1,1.008290466E3
9.246515170E1,1.008146179E3
9.250515013E1,1.008035583E3
9.254513618E1,1.007949158E3
9.258513597E1,1.007891296E3
9.262513581E1,1.007861023E3
9.266513493E1,1.007862000E3
9.270514003E1,1.007870300E3
9.274513540E1,1.007873962E3
9.278513576E1,1.007900330E3
9.282591170E1,1.007914490E3
9.286514149E1,1.007926453E3
9.290516217E1,1.007947205E3
9.294513508E1,1.007974548E3
9.298515310E1,1.007994812E3
9.302515691E1,1.008037537E3
9.306572628E1,1.008059753E3
9.310513508E1,1.008092224E3
9.314513555E1,1.008162781E3
9.318513394E1,1.008270447E3
9.322515404E1,1.008372742E3
9.326516336E1,1.008473572E3
9.330572790E1,1.008603455E3
9.334513513E1,1.008723328E3
9.338515170E1,1.008791687E3
9.342514144E1,1.008709167E3
9.346568644E1,1.008545593E3
9.350515055E1,1.008369324E3
9.354547086E1,1.008216003E3
9.358522180E1,1.008103943E3
9.362513977E1,1.008022156E3
9.366514852E1,1.007983826E3
9.370513571E1,1.007967468E3
9.374523602E1,1.007956970E3
9.378515899E1,1.007937683E3
9.382515347E1,1.007934998E3
9.386516467E1,1.007977478E3
9.390589925E1,1.008033630E3
9.394514862E1,1.008114685E3
9.398513888E1,1.008284851E3
9.402515019E1,1.008481628E3
9.406514482E1,1.008515564E3
9.410536081E1,1.008386169E3
9.414513586E1,1.008234558E3
9.418528133E1,1.008037048E3
9.422588503E1,1.008122986E3
9.426513560E1,1.008143005E3
9.430514737E1,1.008121521E3
9.434514685E1,1.008062195E3
9.438513524E1,1.008013611E3
9.442513524E1,1.008010925E3
9.446568081E1,1.008032898E3
9.450559597E1,1.008132019E3
9.454513456E1,1.008323181E3
9.458536675E1,1.008500427E3
9.462514055E1,1.008607849E3
9.466514237E1,1.008517761E3
9.470578362E1,1.008323425E3
9.474569274E1,1.008165222E3
9.478530899E1,1.008063904E3
9.482614987E1,1.008058289E3
9.486563420E1,1.008080017E3
9.490513857E1,1.008045105E3
9.494513696E1,1.008022400E3
9.498514691E1,1.007980896E3
9.502515904E1,1.007985535E3
9.506513618E1,1.008024597E3
9.510526175E1,1.008117859E3
9.514514045E1,1.008227966E3
9.518514123E1,1.008312683E3
9.522515300E1,1.008326355E3
9.526634758E1,1.008281677E3
9.530581159E1,1.008212341E3
9.534514915E1,1.008105164E3
9.538515092E1,1.008032410E3
9.542513670E1,1.008016541E3
9.546513498E1,1.008146179E3
9.550560722E1,1.008110535E3
9.554513654E1,1.008062927E3
9.558589269E1,1.008070984E3
9.562516211E1,1.008113220E3
9.566513592E1,1.008163513E3
9.570514008E1,1.008290466E3
9.574514263E1,1.008424988E3
9.578515592E1,1.008504333E3
9.582514435E1,1.008487488E3
9.586513664E1,1.008341248E3
9.590513592E1,1.008208679E3
9.594513534E1,1.008110046E3
9.598515248E1,1.008035583E3
9.602513883E1,1.008159363E3
9.606572430E1,1.008100769E3
9.610515305E1,1.008023621E3
9.614514441E1,1.007991882E3
9.618517362E1,1.007995300E3
9.622557831E1,1.008028992E3
9.626513706E1,1.008092468E3
9.630513487E1,1.008219666E3
9.634514060E1,1.008297058E3
9.638565769E1,1.008329041E3
9.642513451E1,1.008244812E3
9.646514211E1,1.008141052E3
9.650547560E1,1.008067322E3
9.654533440E1,1.008033875E3
9.658513581E1,1.008242371E3
9.662513685E1,1.008194519E3
9.666531388E1,1.008126160E3
9.670513795E1,1.008086609E3
9.674514274E1,1.008084900E3
9.678515680E1,1.008106873E3
9.682527222E1,1.008222351E3
9.686513993E1,1.008459167E3
9.690513571E1,1.008532654E3
9.694514774E1,1.008484802E3
9.698562347E1,1.008365906E3
9.702515123E1,1.008201111E3
9.706513701E1,1.008080017E3
9.710516456E1,1.008024841E3
9.714518810E1,1.008070740E3
9.718513513E1,1.008138855E3
9.722514024E1,1.008096375E3
9.726579956E1,1.008042419E3
9.730514904E1,1.008042419E3
9.734513638E1,1.008094421E3
9.738515409E1,1.008180847E3
9.742516623E1,1.008285583E3
9.746515263E1,1.008396912E3
9.750513904E1,1.008337341E3
9.754514915E1,1.008216980E3
9.758513748E1,1.008080750E3
9.762514977E1,1.007987976E3
9.766580467E1,1.007971863E3
9.770513555E1,1.008004578E3
9.774513680E1,1.008171082E3
9.778513696E1,1.008084900E3
9.782513633E1,1.008022156E3
9.786513675E1,1.008180603E3
9.790513857E1,1.008254822E3
9.794574717E1,1.008259216E3
9.798513654E1,1.008216248E3
9.802623060E1,1.008063660E3
9.806515321E1,1.007963074E3
9.810513711E1,1.007940125E3
9.814513581E1,1.007997498E3
9.818519008E1,1.008074158E3
9.822516055E1,1.007973816E3
9.826513581E1,1.007890564E3
9.830513758E1,1.007981140E3
9.834521894E1,1.008017517E3
9.838513607E1,1.008057312E3
9.842514170E1,1.008163757E3
9.846530930E1,1.008204529E3
9.850513503E1,1.008115662E3
9.854514920E1,1.008001160E3
9.858514107E1,1.007914246E3
9.862513540E1,1.007893005E3
9.866514836E1,1.008073425E3
9.870574691E1,1.007973328E3
9.874514279E1,1.007991638E3
9.878522154E1,1.008050964E3
9.882515050E1,1.008027283E3
9.886514258E1,1.008045105E3
9.890513607E1,1.008109558E3
9.894610461E1,1.008136169E3
9.898513618E1,1.008020935E3
9.902513540E1,1.007926208E3
9.906578092E1,1.007875671E3
9.910516138E1,1.008097839E3
9.914516342E1,1.008024109E3
9.918513493E1,1.007914734E3
9.922513904E1,1.008010193E3
9.926520774E1,1.008035828E3
9.930513925E1,1.008049500E3
9.934522461E1,1.008189148E3
9.938583873E1,1.008223083E3
9.942514972E1,1.008128113E3
9.946597706E1,1.008012878E3
9.950528529E1,1.007912781E3
9.954514165E1,1.007872253E3
9.958524628E1,1.008112000E3
9.962532013E1,1.008058777E3
9.966513727E1,1.007959412E3
9.970514915E1,1.008065369E3
9.974513623E1,1.008101501E3
9.978513654E1,1.008199158E3
9.982535722E1,1.008305847E3
9.986513529E1,1.008248718E3
9.990515185E1,1.008115173E3
9.994513633E1,1.007986023E3
9.998523138E1,1.007923035E3
1.000251381E2,1.008107117E3
1.000651639E2,1.008107117E3
1.001059612E2,1.008027771E3
1.001451356E2,1.008047546E3
1.001851351E2,1.008106628E3
1.002251408E2,1.008289246E3
1.002652941E2,1.008389343E3
1.003056254E2,1.008326355E3
1.003451383E2,1.008205994E3
1.003851408E2,1.008050720E3
1.004253224E2,1.007927917E3
1.004651638E2,1.007898376E3
1.005051387E2,1.008117615E3
1.005451362E2,1.008010193E3
1.005851386E2,1.007904968E3
1.006251472E2,1.007903259E3
1.006651611E2,1.007948425E3
1.007051360E2,1.008078796E3
1.007451411E2,1.008217957E3
1.007851436E2,1.008184998E3
1.008251357E2,1.008074402E3
1.008652382E2,1.007984558E3
1.009051423E2,1.007910828E3
1.009451343E2,1.007902527E3
1.009851637E2,1.008031921E3
1.010251407E2,1.008118835E3
1.010651649E2,1.008162048E3
1.011051360E2,1.008252380E3
1.011451369E2,1.008217224E3
1.011853727E2,1.008252136E3
1.012251349E2,1.008468445E3
1.012651368E2,1.008522156E3
1.013051429E2,1.008347351E3
1.013454164E2,1.008141541E3
1.013852534E2,1.008001160E3
1.014251422E2,1.007993347E3
1.014651503E2,1.008115417E3
1.015057033E2,1.008033386E3
1.015451358E2,1.007950623E3
1.015851368E2,1.007979187E3
1.016251468E2,1.008005798E3
1.016651362E2,1.008062439E3
1.017052407E2,1.008264587E3
1.017451680E2,1.008273865E3
1.017851452E2,1.008146912E3
1.018251466E2,1.008019470E3
1.018651398E2,1.007960388E3
1.019053863E2,1.008096130E3
1.019451506E2,1.008014587E3
1.019851488E2,1.008020447E3
1.020251483E2,1.008061218E3
1.020659276E2,1.008145447E3
1.021057611E2,1.008354675E3
1.021451474E2,1.008400818E3
1.021851457E2,1.008288513E3
1.022251364E2,1.008145691E3
1.022651679E2,1.008019958E3
1.023051392E2,1.007969177E3
1.023451438E2,1.008030457E3
1.023852272E2,1.008209167E3
1.024251401E2,1.008135925E3
1.024651358E2,1.008044128E3
1.025051519E2,1.008003845E3
1.025459951E2,1.008008240E3
1.025851358E2,1.008093201E3
1.026251362E2,1.008156433E3
1.026658136E2,1.008229675E3
1.027057453E2,1.008359070E3
1.027451483E2,1.008381287E3
1.027851646E2,1.008282166E3
1.028251358E2,1.008163025E3
1.028651400E2,1.008072449E3
1.029051600E2,1.008035828E3
1.029459450E2,1.007978943E3
1.029851366E2,1.007945251E3
1.030251358E2,1.007916199E3
1.030651358E2,1.007903503E3
1.031051370E2,1.007891052E3
1.031452388E2,1.007891785E3
1.031852808E2,1.007916443E3
1.032251447E2,1.007922302E3
1.032651626E2,1.007959900E3
1.033054962E2,1.008004333E3
1.033451399E2,1.008065613E3
1.033857637E2,1.008255066E3
1.034251375E2,1.008525574E3
1.034659283E2,1.008515564E3
1.035051602E2,1.008364685E3
1.035451474E2,1.008187683E3
1.035851896E2,1.008071228E3
1.036255212E2,1.008050720E3
1.036651356E2,1.008051697E3
1.037051638E2,1.008139099E3
1.037452800E2,1.008118835E3
1.037851352E2,1.008028259E3
1.038251401E2,1.007963806E3
1.038651407E2,1.007938171E3
1.039056143E2,1.007972839E3
1.039451623E2,1.008020691E3
1.039851346E2,1.008038757E3
1.040251373E2,1.008142517E3
1.040651368E2,1.008270935E3
1.041052624E2,1.008290710E3
1.041451386E2,1.008181824E3
1.041851445E2,1.008071472E3
1.042253962E2,1.008001160E3
1.042651410E2,1.007974548E3
1.043051424E2,1.008000427E3
1.043452151E2,1.008011169E3
1.043856269E2,1.008024353E3
1.044251595E2,1.008004333E3
1.044651373E2,1.007983582E3
1.045053071E2,1.007995300E3
1.045451370E2,1.008024353E3
1.045851422E2,1.008123230E3
1.046251616E2,1.008267029E3
1.046651490E2,1.008481628E3
1.047051409E2,1.008541199E3
1.047451385E2,1.008455994E3
1.047851442E2,1.008288513E3
1.048254341E2,1.008136169E3
1.048651551E2,1.008027283E3
1.049051605E2,1.008003845E3
1.049451478E2,1.008021423E3
1.049851382E2,1.007989685E3
1.050251362E2,1.007978210E3
1.050651629E2,1.007934021E3
1.051058571E2,1.007924011E3
1.051460581E2,1.007924744E3
1.051856532E2,1.007949158E3
1.052251426E2,1.008035339E3
