"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.346944518E1,-2.502892494E0,1.228953743E1,-2.991028428E-1
8.348611184E1,-6.029912829E-1,7.542177200E0,1.615155339E0
8.350277851E1,-8.853443861E-1,7.271788120E0,2.679961443E0
8.351944517E1,-2.148754835E0,1.135155106E1,2.670390129E0
8.353611184E1,-2.199003935E0,1.209093285E1,8.470591903E-1
8.355277851E1,-1.646261930E0,1.081316566E1,6.652047038E-1
8.356944517E1,-1.600798368E0,9.420542717E0,8.997012973E-1
8.358611184E1,-1.935793519E0,8.571090698E0,1.387837172E0
8.360277850E1,-1.445264935E0,8.365307808E0,1.100698471E0
8.361944517E1,-2.373680115E0,8.673981667E0,1.091127157E0
8.363611184E1,-3.364308596E0,9.669396400E0,1.366301775E0
8.365277850E1,-5.218746185E0,9.808179855E0,5.886343718E-1
8.366944517E1,-5.991627693E0,9.638289452E0,4.546363056E-1
8.368611183E1,-8.621339798E0,1.099741268E1,2.895315289E-1
8.370277850E1,-9.951749802E0,1.493839169E1,2.254039049E0
8.371944517E1,-8.087740898E0,1.698904037E1,1.033699393E0
8.373611183E1,-6.853044033E0,1.581655788E1,-2.402393818E0
8.375277850E1,-4.603790760E0,1.266760349E1,1.636690736E0
8.376944516E1,8.327022791E-1,8.750552177E0,7.130611539E-1
8.378611183E1,2.804388046E0,5.938985825E0,-7.824530005E-1
8.380277850E1,2.763710260E0,4.706682205E0,2.201396823E-1
8.381944516E1,3.247060299E0,3.550948858E0,-1.710868239E0
8.383611183E1,3.000599623E0,1.069591761E0,-2.665604353E0
8.385277849E1,1.136590719E0,5.862415433E-1,-6.891329288E-1
8.386944516E1,-2.919243574E-1,2.727817893E-1,2.280359983E0
8.388611183E1,-4.043870270E-1,-1.555334777E-1,6.364908218E-1
8.390277849E1,-4.187439680E-1,3.445664644E-1,3.637090325E-1
8.391944516E1,-2.081755698E-1,2.361716032E0,6.197410822E-1
8.393611182E1,-6.173482537E-1,3.448057413E0,-2.129612118E-1
8.395277849E1,-8.925228715E-1,6.441478729E0,2.005185366E0
8.396944516E1,-1.148554921E0,8.927620888E0,3.550948858E0
8.398611182E1,-1.299302697E0,1.299781227E1,1.737189293E0
