"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.475521994E0,4.973308979E-1,-3.289269507E-1,3.636951447E-1,-7.156779170E-1,1.203528596E2,-5.852137760E1,-6.261007274E0,-1.068981811E2
1.492187983E0,5.018098413E-1,-3.272906244E-1,3.588608801E-1,-7.157419920E-1,1.197603789E2,-5.790480455E1,-6.220292270E0,-1.064875102E2
1.508853973E0,5.070811733E-1,-3.242134750E-1,3.526869118E-1,-7.164958119E-1,1.190607940E2,-5.703587488E1,-6.137417404E0,-1.060870111E2
1.525519962E0,5.100303182E-1,-3.165531158E-1,3.484686911E-1,-7.198838592E-1,1.186683015E2,-5.597536702E1,-5.756662735E0,-1.063045077E2
1.542185952E0,5.112493448E-1,-3.059262335E-1,3.476687968E-1,-7.239887118E-1,1.185058323E2,-5.502149944E1,-5.018844806E0,-1.069287875E2
1.558851942E0,5.115408438E-1,-2.934854627E-1,3.513023853E-1,-7.271718383E-1,1.184669616E2,-5.439242230E1,-3.865681203E0,-1.077628927E2
1.575517931E0,5.119567297E-1,-2.780463398E-1,3.599795997E-1,-7.287010550E-1,1.184114907E2,-5.408363696E1,-2.099636287E0,-1.087474219E2
1.592183921E0,5.127301256E-1,-2.590625286E-1,3.730920255E-1,-7.285580039E-1,1.183082925E2,-5.402830221E1,2.926042151E-1,-1.098764648E2
1.608849910E0,5.128614148E-1,-2.366939336E-1,3.905441761E-1,-7.269280553E-1,1.182907684E2,-5.427933136E1,3.237281050E0,-1.112523787E2
1.625515900E0,5.129036584E-1,-2.133968771E-1,4.111865163E-1,-7.227151990E-1,1.182851295E2,-5.493697611E1,6.508338082E0,-1.126602621E2
1.642181889E0,5.135790606E-1,-1.914836913E-1,4.317632616E-1,-7.163456082E-1,1.181949507E2,-5.581087741E1,9.738526230E0,-1.138896748E2
1.658847879E0,5.153538412E-1,-1.711272448E-1,4.503265321E-1,-7.087537646E-1,1.179577817E2,-5.666711138E1,1.280190139E1,-1.148794065E2
1.675513869E0,5.190063862E-1,-1.517682225E-1,4.667365551E-1,-6.998255253E-1,1.174687492E2,-5.741429912E1,1.578664477E1,-1.155610173E2
1.692179858E0,5.252129025E-1,-1.330480874E-1,4.802305996E-1,-6.898030043E-1,1.166348463E2,-5.789588014E1,1.871691858E1,-1.158460414E2
1.708845848E0,5.332562648E-1,-1.136001274E-1,4.904078841E-1,-6.798771024E-1,1.155485346E2,-5.795821886E1,2.162670683E1,-1.158597533E2
1.725511837E0,5.418920347E-1,-9.445890039E-2,4.983370006E-1,-6.701423526E-1,1.143749381E2,-5.777869018E1,2.442412731E1,-1.157007199E2
1.742177827E0,5.518531762E-1,-7.795161009E-2,5.045253634E-1,-6.594207883E-1,1.130115166E2,-5.749755559E1,2.700331331E1,-1.151575278E2
1.758843817E0,5.634839248E-1,-6.184648722E-2,5.082058311E-1,-6.483731270E-1,1.114058431E2,-5.685799380E1,2.950716732E1,-1.142410155E2
1.775509806E0,5.766019304E-1,-4.364828393E-2,5.093280673E-1,-6.373460293E-1,1.095762126E2,-5.569195450E1,3.212180793E1,-1.130244194E2
1.792175796E0,5.895193697E-1,-2.223189734E-2,5.094851255E-1,-6.264164448E-1,1.077541827E2,-5.416597533E1,3.494919438E1,-1.117661125E2
1.808841785E0,6.011933403E-1,2.128285356E-3,5.081422329E-1,-6.167280674E-1,1.060891755E2,-5.223524279E1,3.785088807E1,-1.105462327E2
1.825507775E0,6.129104455E-1,2.805607393E-2,5.029711723E-1,-6.087476015E-1,1.043995081E2,-4.956713672E1,4.059520752E1,-1.089916213E2
1.842173764E0,6.259317373E-1,5.447499081E-2,4.922726154E-1,-6.024197936E-1,1.024987856E2,-4.585933181E1,4.299164712E1,-1.067239733E2
1.858839754E0,6.377462644E-1,8.362263441E-2,4.782478809E-1,-5.979681611E-1,1.007520627E2,-4.135695281E1,4.523564311E1,-1.041857540E2
1.875505744E0,6.455820928E-1,1.198883727E-1,4.650097191E-1,-5.938152075E-1,9.958133434E1,-3.641633826E1,4.796936720E1,-1.018686610E2
1.892171733E0,6.505000376E-1,1.620435864E-1,4.556063414E-1,-5.856743455E-1,9.884137364E1,-3.123660276E1,5.149496299E1,-9.935327985E1
1.908837723E0,6.538657789E-1,2.070280015E-1,4.486250877E-1,-5.730047822E-1,9.833259369E1,-2.543606640E1,5.548089271E1,-9.599629956E1
1.925503712E0,6.574365464E-1,2.487888336E-1,4.377402365E-1,-5.605932474E-1,9.779067791E1,-1.836563574E1,5.870581354E1,-9.129758051E1
1.942169702E0,6.599073822E-1,2.841204107E-1,4.218310118E-1,-5.530428886E-1,9.741438077E1,-1.074513210E1,6.057509466E1,-8.621810244E1
1.958835692E0,6.597169402E-1,3.159442246E-1,4.051008523E-1,-5.484943986E-1,9.744342277E1,-3.336267647E0,6.177425922E1,-8.147691912E1
1.975501681E0,6.541010564E-1,3.489104211E-1,3.959535956E-1,-5.418801308E-1,9.829695522E1,3.530115361E0,6.365298764E1,-7.708762060E1
1.992167671E0,6.434005878E-1,3.854826987E-1,3.975986242E-1,-5.285395980E-1,9.990827461E1,1.108447688E1,6.679720462E1,-7.148334173E1
2.008833660E0,6.297297376E-1,4.236197174E-1,4.067094326E-1,-5.085019469E-1,1.019396282E2,2.112965079E1,7.057143671E1,-6.280361513E1
2.025499650E0,6.170711653E-1,4.560424387E-1,4.193618000E-1,-4.851640463E-1,1.037948610E2,3.386411349E1,7.375267929E1,-5.062237950E1
2.042165639E0,6.110745888E-1,4.769150913E-1,4.306806326E-1,-4.622272551E-1,1.046655133E2,4.668946548E1,7.529425144E1,-3.737985496E1
2.058831629E0,6.105782064E-1,4.878410399E-1,4.387142658E-1,-4.435483813E-1,1.047373544E2,5.604515233E1,7.558107067E1,-2.714165350E1
2.075497619E0,6.076737289E-1,4.975950122E-1,4.464274049E-1,-4.287591577E-1,1.051570244E2,6.442689096E1,7.575706343E1,-1.819173992E1
2.092163608E0,5.991210830E-1,5.092427731E-1,4.550909102E-1,-4.178731740E-1,1.063860485E2,7.371983247E1,7.614549023E1,-8.939531649E0
2.108829598E0,5.842007679E-1,5.218083858E-1,4.652264118E-1,-4.122982621E-1,1.085069040E2,8.430069351E1,7.686885897E1,9.554327627E-1
2.125495587E0,5.659047477E-1,5.312181115E-1,4.762004018E-1,-4.132702649E-1,1.110697156E2,9.493234567E1,7.797077839E1,1.055859387E1
2.142161577E0,5.481607147E-1,5.354557037E-1,4.869689047E-1,-4.191280305E-1,1.135181568E2,1.049361640E2,7.933419643E1,1.957243069E1
2.158827567E0,5.330629736E-1,5.352483988E-1,4.976554513E-1,-4.262535274E-1,1.155747157E2,1.150135066E2,8.070379758E1,2.899320560E1
2.175493556E0,5.214908795E-1,5.314803720E-1,5.056873560E-1,-4.357248843E-1,1.171353800E2,1.239059431E2,8.212993387E1,3.735078048E1
2.192159546E0,5.145771677E-1,5.249791145E-1,5.083118677E-1,-4.485825598E-1,1.180616071E2,1.288963022E2,8.378587686E1,4.172700035E1
2.208825535E0,5.085618446E-1,5.225269794E-1,5.081276298E-1,-4.584067166E-1,1.188638353E2,1.335865688E2,8.480253231E1,4.563744252E1
2.225491525E0,5.029676796E-1,5.237022638E-1,5.090177059E-1,-4.622341692E-1,1.196069298E2,1.398742774E2,8.499367488E1,5.136824020E1
2.242157514E0,4.982373272E-1,5.259215236E-1,5.149581432E-1,-4.582403600E-1,1.202330983E2,1.480444078E2,8.434872593E1,5.970999342E1
2.258823504E0,4.898275196E-1,5.320799947E-1,5.315279365E-1,-4.409511685E-1,1.213415089E2,1.582007488E2,8.187278221E1,7.097677666E1
2.275489494E0,4.783935079E-1,5.404716134E-1,5.508679748E-1,-4.190161824E-1,1.228389361E2,1.638158746E2,7.852051603E1,7.783457993E1
2.292155483E0,4.676787093E-1,5.493670106E-1,5.667892098E-1,-3.977719247E-1,1.242325565E2,1.656526527E2,7.528381644E1,8.069941235E1
2.308821473E0,4.605926209E-1,5.575718880E-1,5.777041316E-1,-3.784520626E-1,1.251492903E2,1.652119668E2,7.259246289E1,8.114268207E1
2.325487462E0,4.585166886E-1,5.652216077E-1,5.838027000E-1,-3.598074317E-1,1.254171330E2,1.629679595E2,7.040870915E1,7.979165865E1
2.342153452E0,4.631172051E-1,5.730153918E-1,5.830202699E-1,-3.424371183E-1,1.248231226E2,1.586633692E2,6.882110053E1,7.628641825E1
2.358819442E0,4.714401810E-1,5.786181688E-1,5.789903998E-1,-3.282000721E-1,1.237443550E2,1.540461477E2,6.777774111E1,7.243921621E1
2.375485431E0,4.813251696E-1,5.821886063E-1,5.716685057E-1,-3.202774227E-1,1.224560265E2,1.496294605E2,6.740453233E1,6.843314360E1
2.392151421E0,4.956322883E-1,5.821754336E-1,5.595765114E-1,-3.198351562E-1,1.205770944E2,1.442228557E2,6.798545308E1,6.317407548E1
2.408817410E0,5.133100413E-1,5.791929960E-1,5.436716080E-1,-3.247606158E-1,1.182308749E2,1.373427395E2,6.912215372E1,5.626718180E1
2.425483400E0,5.293927869E-1,5.781583786E-1,5.255309939E-1,-3.305954337E-1,1.160711259E2,1.298492359E2,6.983398559E1,4.836336823E1
2.442149389E0,5.414335749E-1,5.803337693E-1,5.063656569E-1,-3.371293843E-1,1.144374362E2,1.230007117E2,6.998815078E1,4.058930396E1
2.458815379E0,5.534176131E-1,5.813992620E-1,4.837926328E-1,-3.487814963E-1,1.127964142E2,1.152230766E2,7.022717720E1,3.145091741E1
2.475481369E0,5.661656210E-1,5.814210176E-1,4.571942687E-1,-3.638399243E-1,1.110334534E2,1.061250305E2,7.018358988E1,2.066871378E1
2.492147358E0,5.803583486E-1,5.803956985E-1,4.275972843E-1,-3.787949085E-1,1.090484982E2,9.642726396E1,6.939375464E1,9.267376188E0
2.508813348E0,5.941340072E-1,5.767539144E-1,4.024616778E-1,-3.903643191E-1,1.070981559E2,8.833944032E1,6.820537123E1,5.945331601E-2
2.525479337E0,6.034551859E-1,5.695160627E-1,3.888494670E-1,-4.003615677E-1,1.057644801E2,8.259071088E1,6.771834149E1,-6.099606742E0
2.542145327E0,6.063007340E-1,5.676389337E-1,3.837644458E-1,-4.036214948E-1,1.053550002E2,8.084225955E1,6.745458029E1,-8.059095871E0
2.558811317E0,6.051290717E-1,5.674719214E-1,3.855369985E-1,-4.039252996E-1,1.055237393E2,8.111514173E1,6.767315425E1,-7.759524298E0
2.575477306E0,6.038785868E-1,5.624169707E-1,3.894160092E-1,-4.091124237E-1,1.057036221E2,7.992370456E1,6.851344082E1,-8.806967298E0
2.592143296E0,6.040974903E-1,5.536887050E-1,3.888383508E-1,-4.210698009E-1,1.056721482E2,7.610751138E1,6.940263718E1,-1.283393502E1
2.608809285E0,6.051100222E-1,5.458285213E-1,3.822722733E-1,-4.356386065E-1,1.055264812E2,7.113956534E1,6.975168599E1,-1.851615935E1
2.625475275E0,6.072849265E-1,5.369927287E-1,3.732862473E-1,-4.511110783E-1,1.052131133E2,6.537325576E1,6.969670152E1,-2.506519750E1
2.642141264E0,6.115680935E-1,5.254835486E-1,3.656108081E-1,-4.649518728E-1,1.045940542E2,5.921210708E1,6.936443044E1,-3.155992546E1
