"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.118320338E0,5.265654325E-1,-8.441387415E-1,-6.783653498E-1
2.134987004E0,9.266818762E-1,-6.902008653E-1,-4.578431547E-1
2.151653670E0,6.969966888E-1,-8.478039503E-1,-4.682278633E-1
2.168320336E0,-1.154534444E-1,-5.173261166E-1,-6.044507027E-1
2.184987002E0,-1.154534444E-1,-5.173261166E-1,-6.044507027E-1
2.201653668E0,-1.188742876E0,5.229766369E-1,-7.577777505E-1
2.218320334E0,-1.407432437E0,7.745765448E-1,-8.487966061E-1
2.234987000E0,-1.384219646E0,8.478803039E-1,-6.918043494E-1
2.251653666E0,-1.384219646E0,8.478803039E-1,-6.918043494E-1
2.268320332E0,-1.378110886E0,1.978590965E0,4.245510325E-2
2.284986998E0,-1.350622058E0,2.863734007E0,6.960803866E-1
2.301653664E0,-1.350622058E0,2.863734007E0,6.960803866E-1
2.318320330E0,-9.999856353E-1,4.359130859E0,1.157283306E0
2.334986996E0,-8.668171167E-1,4.414719582E0,1.017395258E0
2.351653662E0,-3.646862805E-1,4.004218578E0,4.999928176E-1
2.368320328E0,3.078758419E-1,3.238194227E0,-1.139262840E-1
2.384986994E0,3.078758419E-1,3.238194227E0,-1.139262840E-1
2.401653660E0,4.612029195E-1,2.561966896E0,-4.896081090E-1
2.418320326E0,4.612029195E-1,2.561966896E0,-4.896081090E-1
2.434986992E0,-5.009091273E-2,2.524093151E0,1.527161920E-3
2.451653658E0,-5.009091273E-2,2.524093151E0,1.527161920E-3
2.468320324E0,7.825177908E-1,1.386663079E0,4.734202102E-2
2.484986990E0,7.825177908E-1,1.386663079E0,4.734202102E-2
2.501653656E0,1.663995624E0,1.293200731E0,4.865537882E-1
2.518320322E0,1.663995624E0,1.293200731E0,4.865537882E-1
2.534986988E0,1.357341528E0,4.355465770E-1,-1.252272818E-2
2.551653654E0,9.132428169E-1,8.552107215E-2,-2.739728391E-1
2.568320320E0,9.132428169E-1,8.552107215E-2,-2.739728391E-1
2.584986986E0,-1.038470119E-1,5.094612241E-1,-2.269362658E-1
2.601653652E0,-6.230821013E-1,9.932661057E-1,-1.579085439E-1
2.618320318E0,-9.938769937E-1,1.212566614E0,-1.252272818E-2
2.634986984E0,-9.938769937E-1,1.212566614E0,-1.252272818E-2
2.651653650E0,-1.516166329E0,9.040798545E-1,4.187478125E-1
2.668320316E0,-1.455079913E0,1.453858167E-1,6.172788739E-1
2.684986982E0,-1.089171886E0,-1.795178801E-1,5.219839811E-1
2.701653648E0,-7.141009569E-1,-1.996764243E-1,2.098320574E-1
2.718320314E0,-5.693259835E-1,-4.330267608E-1,1.756236255E-1
2.734986980E0,-3.628536761E-1,-3.701077104E-1,4.596757591E-1
2.751653646E0,-1.062904745E-1,-2.729802132E-1,1.050992846E0
2.768320312E0,-1.062904745E-1,-2.729802132E-1,1.050992846E0
2.784986978E0,3.176496923E-1,-1.245400533E-1,1.299003959E0
2.801653644E0,6.420188546E-1,-2.735910714E-1,1.476765633E0
2.818320310E0,9.584468603E-1,-2.821431756E-1,1.757152557E0
2.834986976E0,9.584468603E-1,-2.821431756E-1,1.757152557E0
2.851653642E0,1.233335972E0,-4.873937368E-1,1.753487349E0
2.868320308E0,1.709810495E0,-1.495320678E0,1.366809964E0
2.884986974E0,2.469726324E0,-1.942473650E0,8.347467184E-1
2.901653640E0,2.469726324E0,-1.942473650E0,8.347467184E-1
2.918320306E0,3.306611061E0,-9.602030516E-1,7.883210182E-1
2.934986972E0,3.345706463E0,-4.684569240E-1,1.109635830E0
2.951653638E0,2.671922445E0,-2.778671086E-1,1.699120402E0
