"Time (s)","Pressure (hPa)"
3.276507996E2,1.000582458E3
3.276907982E2,1.000588562E3
3.277307849E2,1.000601746E3
3.277707930E2,1.000573914E3
3.278107855E2,1.000536560E3
3.278508611E2,1.000671570E3
3.278907987E2,1.000697205E3
3.279308136E2,1.000653503E3
3.279707843E2,1.000860779E3
3.280107931E2,1.000923035E3
3.280507843E2,1.000932556E3
3.280908006E2,1.000927185E3
3.281307846E2,1.000853455E3
3.281707855E2,1.000732117E3
3.282107878E2,1.000670105E3
3.282507842E2,1.000587830E3
3.282907986E2,1.000538025E3
3.283308129E2,1.000705750E3
3.283707847E2,1.000714294E3
3.284107838E2,1.000647156E3
3.284507883E2,1.000648376E3
3.284907831E2,1.000670593E3
3.285307996E2,1.000619080E3
3.285707852E2,1.000675476E3
3.286107922E2,1.000741394E3
3.286507838E2,1.000686462E3
3.286907845E2,1.000734070E3
3.287308042E2,1.000929626E3
3.287707997E2,1.000977234E3
3.288107891E2,1.001004578E3
3.288507849E2,1.000923523E3
3.288907932E2,1.000777527E3
3.289308047E2,1.000738220E3
3.289708054E2,1.000786316E3
3.290107844E2,1.000715515E3
3.290507918E2,1.000730164E3
3.290907850E2,1.000686218E3
3.291307842E2,1.000638123E3
3.291707989E2,1.000744080E3
3.292107847E2,1.000689880E3
3.292507845E2,1.000630554E3
3.292907942E2,1.000724060E3
3.293307918E2,1.000752380E3
3.293710954E2,1.000692078E3
3.294107988E2,1.000764343E3
3.294507962E2,1.000904236E3
3.294907848E2,1.000987488E3
3.295307847E2,1.001005310E3
3.295707853E2,1.000959167E3
3.296108003E2,1.000828308E3
3.296507886E2,1.000820007E3
3.296907842E2,1.000702576E3
3.297307930E2,1.000610535E3
3.297707851E2,1.000579529E3
3.298108019E2,1.000619324E3
3.298508023E2,1.000621521E3
3.298907908E2,1.000578064E3
3.299307848E2,1.000604919E3
3.299707843E2,1.000608093E3
3.300108005E2,1.000589050E3
3.300508211E2,1.000642029E3
3.300907982E2,1.000700378E3
3.301307852E2,1.000636902E3
3.301707981E2,1.000905212E3
3.302107843E2,1.001040955E3
3.302508096E2,1.001048767E3
3.302907968E2,1.001051941E3
3.303307991E2,1.000952820E3
3.303709701E2,1.000782166E3
3.304107813E2,1.000670105E3
3.304508006E2,1.000635193E3
3.304907942E2,1.000590271E3
3.305307816E2,1.000542175E3
3.305707820E2,1.000770203E3
3.306107811E2,1.000694519E3
3.306507839E2,1.000669861E3
3.306908052E2,1.000672546E3
3.307307999E2,1.000651062E3
3.307707843E2,1.000602234E3
3.308107853E2,1.000709412E3
3.308507845E2,1.000738953E3
3.308909704E2,1.000693054E3
3.309307990E2,1.000811707E3
3.309708007E2,1.001014343E3
3.310108431E2,1.001065857E3
3.310508045E2,1.001090271E3
3.310907930E2,1.001007751E3
3.311308031E2,1.000851013E3
3.311708006E2,1.000747253E3
3.312107846E2,1.000661316E3
3.312507854E2,1.000758240E3
3.312907934E2,1.000699646E3
3.313308718E2,1.000727722E3
3.313707985E2,1.000684509E3
3.314113535E2,1.000734558E3
3.314507986E2,1.000712585E3
3.314907836E2,1.000720642E3
3.315308008E2,1.000700134E3
3.315707983E2,1.000706970E3
3.316108108E2,1.000650330E3
3.316512906E2,1.000639587E3
3.316907858E2,1.000966492E3
3.317307844E2,1.001016785E3
