"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.742826740E0,-3.176496923E-2,6.643154472E-2,5.291616172E-2
2.759493406E0,-2.015853859E-2,6.032289565E-2,3.642281145E-2
2.776160072E0,8.552107029E-3,1.817322709E-2,4.375318810E-2
2.792826738E0,2.809977904E-2,-5.329795182E-2,5.108356848E-2
2.809493404E0,4.642572254E-2,-9.666935354E-2,6.452259421E-2
2.826160070E0,2.443459071E-2,-6.307178736E-2,6.330086291E-2
2.842826736E0,-1.282816008E-2,2.428187430E-2,4.253146052E-2
2.859493402E0,-1.343902480E-2,6.948586553E-2,2.298378758E-2
2.876160068E0,-3.665188793E-3,5.360338464E-2,8.323032409E-3
2.892826734E0,-1.343902480E-2,4.505127668E-2,-5.726857111E-3
2.909493400E0,-1.710421406E-2,2.428187430E-2,-2.832885459E-2
2.926160066E0,9.162971750E-3,-1.114828233E-2,-3.871355578E-2
2.942826732E0,2.199113183E-2,-3.375028074E-2,-3.688096255E-2
2.959493398E0,3.604102135E-2,-2.580903657E-2,-3.932442144E-2
2.976160064E0,3.909534588E-2,-2.580903657E-2,-2.955058403E-2
2.992826730E0,1.588248461E-2,-1.374445739E-3,-2.710712515E-2
3.009493396E0,2.443459118E-3,1.572976820E-2,-2.588539571E-2
3.026160062E0,1.404988952E-2,1.023198478E-2,-1.550069358E-2
3.042826728E0,6.108647678E-3,-1.374445739E-3,-8.170315996E-3
3.059493394E0,-6.719512399E-3,1.634063199E-2,-1.305723470E-2
3.076160060E0,6.719512399E-3,-2.596175298E-3,-2.099847607E-2
3.092826726E0,3.054323979E-2,-1.420260593E-2,-1.611155830E-2
3.109493392E0,1.954767294E-2,1.328630932E-2,-1.366809942E-2
3.126160058E0,-9.773836471E-3,2.122755162E-2,-8.170315996E-3
3.142826724E0,-2.260199748E-2,2.489273995E-2,-3.894262947E-3
3.159493390E0,-3.115410358E-2,2.855792828E-2,-5.726857111E-3
3.176160056E0,-3.787361458E-2,1.817322709E-2,-2.527453005E-2
3.192826722E0,-4.337139800E-2,2.733619884E-2,-3.688096255E-2
3.209493388E0,-4.092793912E-2,4.810560122E-2,-4.237874225E-2
3.226160054E0,-2.076940238E-2,5.482511222E-2,-4.298960790E-2
3.242826720E0,7.330377586E-3,6.520981342E-2,-3.993528336E-2
3.259493386E0,1.710421406E-2,5.238165334E-2,-2.955058403E-2
3.276160052E0,2.076940238E-2,2.855792828E-2,-2.893971838E-2
3.292826718E0,1.954767294E-2,-5.650499370E-3,-2.955058403E-2
3.309493384E0,1.221729559E-3,-3.802633286E-2,-1.672242396E-2
3.326160050E0,-2.687804960E-2,-4.352411628E-2,2.214384731E-3
3.342826716E0,-3.604102135E-2,-7.635809598E-4,1.198822167E-2
3.359493382E0,-3.970621154E-2,5.787943676E-2,1.259908639E-2
3.376160048E0,-3.054323979E-2,6.459894776E-2,8.323032409E-3
3.392826714E0,-1.343902480E-2,2.061668597E-2,1.603520010E-3
3.409493380E0,-9.773836471E-3,-2.031125315E-2,-8.399390499E-4
3.426160046E0,-2.443459118E-3,-3.130681813E-2,-3.283398226E-3
3.442826712E0,-6.108647794E-4,-1.053741761E-2,-8.170315996E-3
3.459493378E0,-1.893680729E-2,2.244928107E-2,-5.726857111E-3
3.476160044E0,-2.687804960E-2,3.039052337E-2,-3.894262947E-3
3.492826710E0,-2.809977904E-2,2.489273995E-2,-2.290742996E-4
3.509493376E0,-2.565632015E-2,1.572976820E-2,-2.290742996E-4
3.526160042E0,-7.941242307E-3,-1.603520103E-2,2.825249685E-3
3.542826708E0,-7.941242307E-3,-3.741546720E-2,1.076649129E-2
3.559493374E0,-2.809977904E-2,-9.315688163E-3,1.137735695E-2
3.576160040E0,-3.543015569E-2,2.855792828E-2,5.879573524E-3
3.592826706E0,-2.504545636E-2,3.588830680E-2,3.817904799E-4
3.609493372E0,-2.015853859E-2,1.695149764E-2,-4.505127668E-3
3.626160038E0,-2.260199748E-2,-1.175914705E-2,-1.000291109E-2
3.642826704E0,-2.138026804E-2,-2.580903657E-2,-1.366809942E-2
3.659493370E0,-2.138026804E-2,-5.650499370E-3,-7.559451740E-3
3.676160036E0,-3.054323979E-2,2.000582218E-2,-5.115992390E-3
3.692826702E0,-2.687804960E-2,2.244928107E-2,-5.115992390E-3
3.709493368E0,-1.404988952E-2,2.290742937E-3,-3.894262947E-3
3.726160034E0,-8.552107029E-3,-8.704823442E-3,-8.170315996E-3
3.742826700E0,-8.552107029E-3,-1.527161949E-4,-9.392046370E-3
3.759493366E0,-8.552107029E-3,1.023198478E-2,-1.183550525E-2
3.776160032E0,-1.466075517E-2,1.389717404E-2,-1.611155830E-2
3.792826698E0,-1.588248461E-2,5.955931731E-3,-1.611155830E-2
3.809493364E0,-7.330377586E-3,-1.237001177E-2,-2.290742996E-4
3.826160030E0,-1.649334840E-2,-8.093958721E-3,5.268708803E-3
