"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.774630104E0,-1.579467297E0,2.905807495E0,-1.518380761E0
2.791296770E0,-2.698418856E0,4.517268658E0,-1.119486094E0
2.807963436E0,-2.698418856E0,4.517268658E0,-1.119486094E0
2.824630102E0,-1.609246850E0,4.262156487E0,-4.963276163E-2
2.841296768E0,-1.609246850E0,4.262156487E0,-4.963276163E-2
2.857963434E0,-1.609246850E0,4.262156487E0,-4.963276163E-2
2.874630100E0,-1.609246850E0,4.262156487E0,-4.963276163E-2
2.891296766E0,-1.609246850E0,4.262156487E0,-4.963276163E-2
2.907963432E0,-1.609246850E0,4.262156487E0,-4.963276163E-2
2.924630098E0,-1.609246850E0,4.262156487E0,-4.963276163E-2
2.941296764E0,-2.351829410E-1,-9.634101391E-1,4.253909588E-1
2.957963430E0,-2.351829410E-1,-9.634101391E-1,4.253909588E-1
2.974630096E0,-2.351829410E-1,-9.634101391E-1,4.253909588E-1
2.991296762E0,-2.351829410E-1,-9.634101391E-1,4.253909588E-1
3.007963428E0,1.877645552E-1,-4.950295389E-1,8.000801206E-1
3.024630094E0,2.763399482E-1,-8.114575148E-1,1.099785686E0
3.041296760E0,3.078758419E-1,-1.286710262E0,1.282052398E0
3.057963426E0,3.078758419E-1,-1.286710262E0,1.282052398E0
3.074630092E0,1.006705165E0,-4.692205191E-1,-1.921933293E-1
3.091296758E0,1.006705165E0,-4.692205191E-1,-1.921933293E-1
3.107963424E0,9.795980453E-1,-5.669588447E-1,-9.834922850E-2
3.124630090E0,9.795980453E-1,-5.669588447E-1,-9.834922850E-2
3.141296756E0,1.372613192E0,-7.398335934E-1,3.543015718E-1
3.157963422E0,1.457905173E0,-7.357102633E-1,5.438987017E-1
3.174630088E0,1.457905173E0,-7.357102633E-1,5.438987017E-1
3.191296754E0,1.036408424E0,-2.286925018E-1,3.225366175E-1
3.207963420E0,1.036408424E0,-2.286925018E-1,3.225366175E-1
3.224630086E0,4.013381600E-1,-7.011200786E-1,8.978185058E-1
3.241296752E0,4.013381600E-1,-7.011200786E-1,8.978185058E-1
3.257963418E0,8.712458611E-2,9.017891288E-1,4.810560122E-2
3.274630084E0,8.712458611E-2,9.017891288E-1,4.810560122E-2
3.291296750E0,8.712458611E-2,9.017891288E-1,4.810560122E-2
3.307963416E0,1.770897031E0,2.184605122E0,-3.342957497E-1
3.324630082E0,1.770897031E0,2.184605122E0,-3.342957497E-1
3.341296748E0,2.984074354E0,1.479438186E0,5.001455545E-1
3.357963414E0,2.984074354E0,1.479438186E0,5.001455545E-1
3.374630080E0,2.984074354E0,1.479438186E0,5.001455545E-1
3.391296746E0,2.984074354E0,1.479438186E0,5.001455545E-1
3.407963412E0,2.984074354E0,1.479438186E0,5.001455545E-1
3.424630078E0,9.144645929E-1,-3.865246773E-1,1.965457499E-1
3.441296744E0,9.144645929E-1,-3.865246773E-1,1.965457499E-1
3.457963410E0,1.066188097E0,-2.140317440E0,9.083559513E-1
