"Time (s)","Pressure (hPa)"
1.019147896E1,1.002499451E3
1.023147943E1,1.002504089E3
1.027147948E1,1.002494812E3
1.031147922E1,1.002494568E3
1.035149855E1,1.002490173E3
1.039146620E1,1.002494812E3
1.043147896E1,1.002497253E3
1.047147922E1,1.002500916E3
1.051148021E1,1.002493347E3
1.055148756E1,1.002488220E3
1.059146631E1,1.002497253E3
1.063147917E1,1.002494812E3
1.067147891E1,1.002486023E3
1.071147922E1,1.002491638E3
1.075149011E1,1.002496277E3
1.079149370E1,1.002493591E3
1.083147922E1,1.002490173E3
1.087149537E1,1.002494568E3
1.091147922E1,1.002490173E3
1.095147995E1,1.002489685E3
1.099148282E1,1.002495056E3
1.103148094E1,1.002504333E3
1.107147917E1,1.002507996E3
1.111147917E1,1.002505310E3
1.115147922E1,1.002500427E3
1.119148099E1,1.002501160E3
1.123149511E1,1.002494080E3
1.127147896E1,1.002493591E3
1.131147896E1,1.002484070E3
1.135148042E1,1.002484802E3
1.139148230E1,1.002492126E3
1.143148084E1,1.002496033E3
1.147147948E1,1.002501892E3
1.151147891E1,1.002524597E3
1.155149360E1,1.002564148E3
1.159148027E1,1.002601013E3
1.163158402E1,1.002626160E3
1.167148683E1,1.002655212E3
1.171147922E1,1.002671326E3
1.175147917E1,1.002673767E3
1.179147891E1,1.002685486E3
1.183147584E1,1.002684753E3
1.187148152E1,1.002681335E3
1.191149631E1,1.002663757E3
1.195147943E1,1.002647156E3
1.199147917E1,1.002632507E3
1.203148000E1,1.002612244E3
1.207148657E1,1.002594666E3
1.211155464E1,1.002584167E3
1.215147532E1,1.002569763E3
1.219148073E1,1.002552429E3
1.223147928E1,1.002577332E3
1.227148204E1,1.002612244E3
1.231148964E1,1.002637634E3
1.235148094E1,1.002624451E3
1.239147917E1,1.002579041E3
1.243147917E1,1.002578552E3
1.247147948E1,1.002597351E3
1.251150162E1,1.002614685E3
1.255149714E1,1.002606628E3
1.259147891E1,1.002561462E3
1.263147891E1,1.002516296E3
1.267147922E1,1.002503357E3
1.271148740E1,1.002503601E3
1.275148688E1,1.002465759E3
1.279147948E1,1.002438416E3
1.283147922E1,1.002424500E3
1.287147917E1,1.002424255E3
1.291148282E1,1.002427429E3
1.295148188E1,1.002450378E3
1.299148615E1,1.002444519E3
1.303147943E1,1.002402283E3
1.307147948E1,1.002365906E3
1.311147922E1,1.002359558E3
1.315146756E1,1.002398865E3
1.319149829E1,1.002436707E3
1.323147928E1,1.002485291E3
1.327147922E1,1.002533630E3
1.331147917E1,1.002537537E3
1.335147948E1,1.002545837E3
1.339148235E1,1.002550232E3
1.343147896E1,1.002577576E3
1.347147922E1,1.002628845E3
1.351147922E1,1.002650818E3
1.355148844E1,1.002627869E3
1.359148464E1,1.002585144E3
1.363148141E1,1.002549255E3
1.367147922E1,1.002519470E3
1.371147896E1,1.002497986E3
1.375147943E1,1.002482849E3
1.379147995E1,1.002495056E3
1.383149615E1,1.002501160E3
1.387149662E1,1.002464539E3
1.391147922E1,1.002396912E3
1.395148047E1,1.002366638E3
1.399147922E1,1.002334167E3
1.403193672E1,1.002328308E3
1.407149417E1,1.002332703E3
1.411147928E1,1.002351501E3
1.415147948E1,1.002368103E3
1.419147943E1,1.002367126E3
1.423147948E1,1.002369324E3
1.427148792E1,1.002370789E3
1.431148620E1,1.002390076E3
1.435147948E1,1.002398621E3
1.439147896E1,1.002396667E3
1.443147917E1,1.002401306E3
1.447177719E1,1.002420105E3
1.451160303E1,1.002416443E3
1.455148188E1,1.002423279E3
1.459147928E1,1.002432800E3
1.463147917E1,1.002436707E3
1.467148047E1,1.002447449E3
1.471148167E1,1.002451599E3
1.475147896E1,1.002457947E3
1.479147922E1,1.002458435E3
1.483147527E1,1.002484558E3
1.487148204E1,1.002520203E3
1.491148818E1,1.002535583E3
1.495148141E1,1.002528259E3
1.499147912E1,1.002503601E3
1.503147917E1,1.002491394E3
1.507147948E1,1.002488220E3
1.511148751E1,1.002502380E3
1.515148672E1,1.002523621E3
1.519149615E1,1.002541687E3
1.523147917E1,1.002559265E3
1.527147922E1,1.002604431E3
1.531148006E1,1.002666687E3
1.535148146E1,1.002695984E3
1.539148079E1,1.002717712E3
1.543147922E1,1.002737732E3
1.547147902E1,1.002745544E3
1.551147917E1,1.002742126E3
1.555148594E1,1.002716248E3
1.559167912E1,1.002674500E3
1.563147922E1,1.002642029E3
1.567147891E1,1.002609558E3
1.571147917E1,1.002605652E3
1.575147917E1,1.002598083E3
1.579148073E1,1.002598572E3
1.583150756E1,1.002608582E3
1.587147891E1,1.002598083E3
1.591147917E1,1.002480896E3
1.595148079E1,1.002401306E3
1.599157386E1,1.002382751E3
1.603148089E1,1.002363953E3
1.607147912E1,1.002357849E3
1.611147917E1,1.002367371E3
1.615148724E1,1.002386414E3
1.619148209E1,1.002370056E3
1.623148469E1,1.002364929E3
1.627149620E1,1.002359070E3
1.631147886E1,1.002393738E3
1.635148042E1,1.002411072E3
1.639147974E1,1.002411560E3
1.643155797E1,1.002409363E3
1.647149584E1,1.002410339E3
1.651147922E1,1.002407898E3
1.655148688E1,1.002429138E3
1.659147922E1,1.002495789E3
1.663147948E1,1.002545105E3
1.667149776E1,1.002550232E3
1.671147917E1,1.002528748E3
1.675147928E1,1.002511414E3
1.679147886E1,1.002503845E3
1.683147917E1,1.002518494E3
1.687179438E1,1.002568298E3
1.691148126E1,1.002630066E3
1.695147917E1,1.002638855E3
1.699147891E1,1.002626892E3
1.703147917E1,1.002629089E3
1.707146714E1,1.002645691E3
1.711148631E1,1.002693542E3
1.715148032E1,1.002689392E3
1.719147917E1,1.002689636E3
1.723147928E1,1.002659363E3
1.727148000E1,1.002612488E3
1.731148615E1,1.002605408E3
1.735148178E1,1.002673767E3
1.739147928E1,1.002752136E3
1.743147896E1,1.002819031E3
1.747147917E1,1.002842712E3
1.751146693E1,1.002841003E3
1.755148782E1,1.002833923E3
1.759147917E1,1.002882263E3
1.763147917E1,1.002909363E3
1.767147922E1,1.002801208E3
