"Time (s)","Pressure (hPa)"
5.725072190E0,1.005074646E3
5.765070940E0,1.005080994E3
5.805070576E0,1.005068787E3
5.845094742E0,1.005068298E3
5.885072034E0,1.005064148E3
5.925068649E0,1.005071960E3
5.965075680E0,1.005070496E3
6.005072555E0,1.005092224E3
6.045071201E0,1.005084167E3
6.085073232E0,1.005059753E3
6.125069117E0,1.005031189E3
6.165072138E0,1.005004089E3
6.205072503E0,1.004992126E3
6.245075471E0,1.004984558E3
6.285071044E0,1.004978943E3
6.325068701E0,1.004974060E3
6.365068336E0,1.004963318E3
6.405165888E0,1.004926453E3
6.445069117E0,1.004895935E3
6.485068180E0,1.004889343E3
6.525496305E0,1.004881042E3
6.565077399E0,1.004893250E3
6.605070107E0,1.004937195E3
6.645069638E0,1.004992615E3
6.685086357E0,1.005068298E3
6.725087138E0,1.005143250E3
6.765069638E0,1.005169617E3
6.805627711E0,1.005191345E3
6.845070471E0,1.005180603E3
6.885068909E0,1.005137634E3
6.925068805E0,1.005099792E3
6.965068440E0,1.005088806E3
7.005070992E0,1.005087585E3
7.045068232E0,1.005079529E3
7.085072919E0,1.005087341E3
7.125068284E0,1.005075378E3
7.165075888E0,1.005036560E3
7.205068492E0,1.004998230E3
7.245071878E0,1.004982849E3
7.285072659E0,1.004989929E3
7.325069326E0,1.005009216E3
7.365072711E0,1.005026306E3
7.405429638E0,1.005035828E3
7.445068857E0,1.005040222E3
7.485069274E0,1.005023621E3
7.525073336E0,1.005018250E3
7.565075836E0,1.005023865E3
7.605094169E0,1.005019226E3
7.645123076E0,1.005015320E3
7.685072971E0,1.005020691E3
7.725343336E0,1.005022888E3
7.765074065E0,1.005040955E3
7.805326253E0,1.005066589E3
7.845084326E0,1.005094421E3
7.885074482E0,1.005089294E3
7.925078857E0,1.005097107E3
7.965073284E0,1.004996765E3
8.005088336E0,1.004950867E3
