"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.183426253E0,9.642852465E-1,2.577600181E-1,-5.330601707E-2,-2.953311801E-2,3.071797356E1,3.014476912E1,-5.024372559E0,-4.862380354E0
1.200160107E0,9.670256576E-1,2.489792407E-1,-4.710064828E-2,-2.553907037E-2,2.950912684E1,2.904115821E1,-4.495320472E0,-4.190499767E0
1.216893961E0,9.692189297E-1,2.417206913E-1,-4.241641983E-2,-1.966268010E-2,2.850557650E1,2.813019647E1,-4.169991172E0,-3.369577946E0
1.233627867E0,9.704908393E-1,2.376342714E-1,-3.874232993E-2,-1.328592561E-2,2.790743052E1,2.760503290E1,-3.949877189E0,-2.539377462E0
1.250361721E0,9.707101751E-1,2.372385859E-1,-3.678552806E-2,-9.296996519E-3,2.780300809E1,2.753580103E1,-3.841979956E0,-2.039199946E0
1.267095576E0,9.701878400E-1,2.393468171E-1,-3.710241243E-2,-8.489246480E-3,2.805105708E1,2.778333727E1,-3.895037011E0,-1.966334320E0
1.283829482E0,9.688406002E-1,2.443781346E-1,-3.924590349E-2,-9.326189756E-3,2.868113687E1,2.839031192E1,-4.099446903E0,-2.140404694E0
1.300563336E0,9.670110136E-1,2.510635555E-1,-4.187826440E-2,-1.014897786E-2,2.951571516E1,2.919736680E1,-4.352787023E0,-2.336835461E0
1.317297190E0,9.657689308E-1,2.551881373E-1,-4.518384859E-2,-1.130516548E-2,3.006938675E1,2.970773710E1,-4.675045432E0,-2.581876212E0
1.334031044E0,9.655685333E-1,2.555125654E-1,-4.702887312E-2,-1.337989606E-2,3.015778534E1,2.976488595E1,-4.817473326E0,-2.868746501E0
1.350764951E0,9.666319639E-1,2.521592379E-1,-4.268521070E-2,-1.470843330E-2,2.968575066E1,2.934914600E1,-4.307200415E0,-2.871934833E0
1.367498805E0,9.683795214E-1,2.463309616E-1,-3.667197376E-2,-1.474199072E-2,2.889368418E1,2.862924505E1,-3.655771164E0,-2.677467929E0
1.384232659E0,9.703104780E-1,2.394841313E-1,-3.085712343E-2,-1.388398744E-2,2.799301168E1,2.779217638E1,-3.051410682E0,-2.394651127E0
1.400966565E0,9.720358046E-1,2.330558896E-1,-2.596389689E-2,-1.253885403E-2,2.716352181E1,2.701225262E1,-2.558027237E0,-2.092614530E0
1.417700419E0,9.732336315E-1,2.284239680E-1,-2.269188501E-2,-1.112958696E-2,2.657271002E1,2.645310942E1,-2.239946427E0,-1.836908535E0
1.434434274E0,9.738708194E-1,2.259394377E-1,-2.050580457E-2,-1.032035146E-2,2.625310836E1,2.615297218E1,-2.021611747E0,-1.683925195E0
1.451168180E0,9.741452182E-1,2.248994708E-1,-1.910857111E-2,-9.807365015E-3,2.611429149E1,2.602610735E1,-1.880653610E0,-1.588301503E0
1.467902034E0,9.742183825E-1,2.247020006E-1,-1.803106628E-2,-9.079363197E-3,2.607715548E1,2.599906313E1,-1.779439763E0,-1.478752972E0
