"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.487143140E1,-2.895315289E-1,6.721438885E0,-3.661018610E-1
5.488809807E1,-1.048056364E0,8.178668022E0,1.076770186E0
5.490476474E1,-3.605983734E0,1.061934662E1,3.864408493E0
5.492143140E1,-3.605983734E0,1.061934662E1,3.864408493E0
5.493809807E1,-2.689532757E0,9.542576790E0,-1.095912814E0
5.495476474E1,-4.785645485E0,6.699903488E0,1.079641533E1
5.497143140E1,-2.620140791E0,6.362515450E0,1.177268744E0
5.498809807E1,-2.620140791E0,6.362515450E0,1.177268744E0
5.500476473E1,-1.205982566E0,9.274580956E0,9.308080077E-1
5.502143140E1,1.292124242E-1,9.078369141E0,1.249053478E0
5.503809807E1,-1.383051515E0,1.116491032E1,-6.580262184E-1
5.505476473E1,2.127219439E0,9.817750931E0,-1.399801254E0
5.507143140E1,2.548356056E0,9.303294182E0,-4.335794449E0
5.508809806E1,2.734996319E0,1.055474091E1,-3.869194269E0
5.510476473E1,4.831109047E0,1.531885052E1,2.129612207E0
5.512143140E1,-4.115654826E-1,1.325145149E1,6.867401004E-1
5.513809806E1,3.637090325E-1,1.193300629E1,3.175275564E0
5.515476473E1,-2.081755698E-1,6.821937561E0,3.739981890E0
5.517143139E1,-3.254238844E0,4.156332970E0,4.357329845E0
5.518809806E1,-3.254238844E0,4.156332970E0,4.357329845E0
5.520476473E1,-1.950150490E0,6.585047722E0,-1.088734269E0
5.522143139E1,-1.962114573E-1,9.645467758E0,-5.888736725E0
5.523809806E1,-9.332008362E-1,1.237328625E1,-6.628118753E-1
5.525476472E1,-4.285545349E0,1.369412422E1,8.997013092E0
5.527143139E1,-5.307280540E0,1.325862980E1,5.730810165E0
5.528809806E1,-4.252045631E0,1.109791183E1,2.474178553E0
5.530476472E1,-4.252045631E0,1.109791183E1,2.474178553E0
5.532143139E1,-1.450050473E0,5.245067120E0,5.446064472E0
5.533809805E1,-1.007378340E0,1.806581140E0,2.924029350E0
5.535476472E1,-1.007378340E0,1.806581140E0,2.924029350E0
5.537143138E1,1.447657704E0,1.211246777E1,-3.835694790E0
5.538809805E1,2.768495798E0,1.682393646E1,2.330609322E0
5.540476472E1,-5.455635786E-1,1.361276817E1,1.354337573E0
5.542143138E1,-1.974078655E0,7.180860519E0,1.890329868E-1
5.543809805E1,-1.060020447E0,7.523034573E0,3.409772158E0
5.545476472E1,3.349951804E-1,1.222971630E1,1.292124271E0
5.547143138E1,9.188438654E-1,2.155215263E1,-4.548755646E0
5.548809805E1,-3.170490026E0,1.387358570E1,8.109275818E0
5.550476471E1,1.222732425E0,1.004267693E1,-9.092726111E-1
5.552143138E1,1.670190215E0,1.009771156E1,-2.122433662E0
5.553809805E1,9.738788009E-1,1.043031406E1,-1.696511269E0
5.555476471E1,9.738788009E-1,1.043031406E1,-1.696511269E0
5.557143138E1,-3.852444589E-1,9.145368576E0,-1.311266780E0
5.558809804E1,-1.009771109E0,8.827122688E0,-8.973084688E-1
5.560476471E1,-2.890529871E0,8.391629219E0,9.475577354E0
5.562143138E1,-1.395015597E0,6.908079147E0,7.030112743E0
5.563809804E1,-1.395015597E0,6.908079147E0,7.030112743E0
5.565476471E1,-4.275974274E0,4.582255363E0,1.299302697E0
5.567143137E1,-5.053641319E0,3.682554007E0,-6.135197163E0
5.568809804E1,-4.072584152E0,3.948157310E0,-3.883551121E0
5.570476470E1,-1.835294962E0,5.118247509E0,1.643869162E0
5.572143137E1,-1.268195957E-1,8.463413239E0,3.534198999E0
5.573809804E1,6.183053493E0,1.906601143E1,-2.179861546E0
5.575476470E1,6.183053493E0,1.906601143E1,-2.179861546E0
5.577143137E1,1.765903115E0,1.556531143E1,-7.944171429E-1
5.578809804E1,1.318445325E0,1.282552910E1,2.711068153E0
5.580476470E1,1.548156261E0,8.796015739E0,6.372086525E0
5.582143137E1,1.548156261E0,8.796015739E0,6.372086525E0
5.583809803E1,-1.895115495E0,-1.038485050E0,-3.349951804E-1
5.585476470E1,-1.945364833E0,-6.939185858E-1,7.896314561E-2
5.587143137E1,-6.221338734E-2,3.500699520E0,-7.369893789E-1
5.588809803E1,2.055434704E0,7.247859955E0,-1.519442320E0
5.590476470E1,2.404786825E0,8.276773453E0,-1.756331801E0
5.592143136E1,2.277967215E0,9.937392235E0,7.951349735E0
