"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.596567011E1,4.579042435E0,-2.221257091E-1,1.955836296E0
5.598233678E1,2.518595457E0,2.455294609E0,1.476307511E0
5.598233678E1,2.518595457E0,2.455294609E0,1.476307511E0
5.601567011E1,-3.348760605E0,-4.583700180E0,-1.183397770E0
5.603233678E1,-3.348760605E0,-4.583700180E0,-1.183397770E0
5.604900344E1,-2.257145405E0,-2.701625824E0,-8.529199362E-1
5.606567011E1,-2.257145405E0,-2.701625824E0,-8.529199362E-1
5.608233677E1,-1.370780587E0,6.514109373E-1,-7.637336850E-1
5.609900344E1,-7.403681278E-1,1.645898819E0,-6.861538887E-1
5.611567011E1,-7.403681278E-1,1.645898819E0,-6.861538887E-1
5.613233677E1,2.162461281E-1,-6.417897940E-1,2.105956376E-1
5.614900344E1,1.771507859E-1,-1.474398494E0,4.005745649E-1
5.616567010E1,-4.318813980E-1,-2.895880938E0,5.172497630E-1
5.618233677E1,-4.318813980E-1,-2.895880938E0,5.172497630E-1
5.619900344E1,-4.318813980E-1,-2.895880938E0,5.172497630E-1
5.621567010E1,1.667660922E-1,1.493182540E0,2.038761228E-1
5.623233677E1,7.635809481E-2,2.164522886E0,1.036942974E-1
5.624900343E1,2.748891413E-1,2.453462124E0,1.269071549E-1
5.626567010E1,7.806851864E-1,2.637332439E0,7.987056673E-2
5.628233677E1,8.582650423E-1,8.963677287E-1,-1.266017258E-1
5.629900343E1,-1.698204130E-1,1.077183723E0,-5.267181396E-1
5.631567010E1,-1.698204130E-1,1.077183723E0,-5.267181396E-1
5.633233676E1,-1.343902469E0,6.556869745E-1,-1.809534192E0
5.634900343E1,-9.126319885E-1,-6.051379442E-1,-2.708727121E0
5.636567010E1,-1.321911335E0,-1.083445072E0,-2.477820158E0
5.638233676E1,-1.321911335E0,-1.083445072E0,-2.477820158E0
5.639900343E1,-1.714086533E0,-8.757510185E-1,-1.983630657E0
5.641567009E1,-1.663384795E0,-1.429194450E0,-1.258534193E0
5.643233676E1,-4.111120105E-1,-1.707137942E0,-2.573267817E-1
5.644900343E1,-4.111120105E-1,-1.707137942E0,-2.573267817E-1
5.646567009E1,1.302363753E0,-5.281689763E-1,-1.156061590E-1
5.648233676E1,1.035415769E0,1.596647799E-1,-2.641990222E-2
5.649900342E1,7.086031437E-1,-1.179350853E0,3.798051775E-1
5.651567009E1,9.773836732E-1,-1.349782109E0,1.115897179E0
5.653233676E1,1.279761672E0,-1.237993836E0,1.440266490E0
5.654900342E1,1.905898094E0,-9.905936122E-1,1.727372885E0
5.656567009E1,1.905898094E0,-9.905936122E-1,1.727372885E0
5.658233675E1,8.497129083E-1,-1.373605847E0,1.481194377E0
5.659900342E1,6.078104377E-1,-1.870238900E0,1.323591232E0
5.661567009E1,5.204567909E-1,-2.750494957E0,1.041371703E0
5.663233675E1,5.204567909E-1,-2.750494957E0,1.041371703E0
5.664900342E1,5.204567909E-1,-2.750494957E0,1.041371703E0
5.666567008E1,7.299833894E-1,-2.095648050E0,7.347176075E-1
5.668233675E1,8.484911919E-1,-1.554421782E0,7.890845537E-1
5.669900342E1,1.260214090E0,-1.190346360E0,9.314160943E-1
5.671567008E1,1.260214090E0,-1.190346360E0,9.314160943E-1
5.673233675E1,1.180190802E0,-4.725802541E-1,8.959859014E-1
5.674900341E1,2.419024557E-1,-9.087377191E-1,8.147408962E-1
5.676567008E1,-2.229656428E-1,-1.371773243E0,8.428406715E-1
5.678233675E1,-2.229656428E-1,-1.371773243E0,8.428406715E-1
5.679900341E1,-4.941896200E-1,-1.302134633E0,7.615956664E-1
5.681567008E1,-3.793470263E-1,-8.525381684E-1,7.420479655E-1
