"Time (s)","Pressure (hPa)"
1.017103912E1,9.992042847E2
1.021103928E1,9.991994019E2
1.025103902E1,9.991818237E2
1.029104006E1,9.991791382E2
1.033124969E1,9.994152222E2
1.037104047E1,9.993478394E2
1.041103902E1,9.992755737E2
1.045104495E1,9.992235718E2
1.049103907E1,9.991798706E2
1.053102652E1,9.991449585E2
1.057104323E1,9.991720581E2
1.061103902E1,9.992445679E2
1.065103907E1,9.992216187E2
1.069103912E1,9.992008667E2
1.073103954E1,9.992037964E2
1.077104178E1,9.991762085E2
1.081106600E1,9.993742065E2
1.085104240E1,9.993700562E2
1.089103928E1,9.993475952E2
1.093104053E1,9.993727417E2
1.097102709E1,9.992982788E2
1.101104969E1,9.992731323E2
1.105103902E1,9.994066772E2
1.109103902E1,9.992990112E2
1.113103641E1,9.992186890E2
1.117104011E1,9.992042847E2
1.121104990E1,9.991696167E2
1.125103886E1,9.991376343E2
1.129103907E1,9.991251831E2
1.133103902E1,9.992509155E2
1.137103912E1,9.991913452E2
1.141104386E1,9.991867065E2
1.145105495E1,9.992352905E2
1.149103907E1,9.992118530E2
1.153104001E1,9.992028198E2
1.157103902E1,9.991913452E2
1.161103954E1,9.993187866E2
1.165104110E1,9.993053589E2
1.169106495E1,9.992604370E2
1.173104011E1,9.992699585E2
1.177103902E1,9.992194214E2
1.181104683E1,9.991998901E2
1.185134532E1,9.992919312E2
1.189104120E1,9.992601929E2
1.193103907E1,9.992150269E2
1.197103902E1,9.991808472E2
1.201103876E1,9.991464233E2
1.205103933E1,9.991242065E2
1.209104261E1,9.991249390E2
1.213104001E1,9.991298218E2
1.217103912E1,9.991657104E2
1.221104027E1,9.993385620E2
1.225104448E1,9.993505249E2
1.229104428E1,9.993351440E2
1.233107037E1,9.993612671E2
1.237103902E1,9.993541870E2
1.241103886E1,9.992833862E2
1.245103902E1,9.992404175E2
1.249103933E1,9.992448120E2
1.253105350E1,9.992577515E2
1.257106594E1,9.992736206E2
1.261103907E1,9.992369995E2
1.265103933E1,9.992050171E2
1.269103912E1,9.991661987E2
1.273135719E1,9.991478882E2
1.277106568E1,9.991349487E2
1.281104792E1,9.991498413E2
1.285103886E1,9.992716675E2
1.289103902E1,9.992904663E2
1.293103912E1,9.993219604E2
1.297104204E1,9.993063354E2
1.301104006E1,9.992914429E2
1.305103907E1,9.992562866E2
1.309103912E1,9.992387085E2
1.313103954E1,9.992645874E2
1.317104183E1,9.992811890E2
1.321106730E1,9.993102417E2
1.325103928E1,9.992767944E2
1.329104037E1,9.992540894E2
1.333103912E1,9.992350464E2
1.337102657E1,9.992196655E2
1.341104167E1,9.992274780E2
1.345103902E1,9.992399292E2
1.349103881E1,9.993558960E2
1.353103907E1,9.993761597E2
1.357103954E1,9.994081421E2
1.361110850E1,9.993903198E2
1.365104089E1,9.993754272E2
1.369103938E1,9.993331909E2
1.373103907E1,9.992997437E2
1.377103912E1,9.993305054E2
1.381105271E1,9.994535522E2
1.385104620E1,9.994179077E2
1.389104120E1,9.993663940E2
1.393103891E1,9.993280640E2
1.397103881E1,9.993019409E2
1.401103959E1,9.992643433E2
1.405104850E1,9.992518921E2
1.409138829E1,9.992611694E2
1.413103907E1,9.993095093E2
1.417103912E1,9.993358765E2
1.421103907E1,9.993693237E2
1.425104219E1,9.993627319E2
1.429104053E1,9.993566284E2
1.433106881E1,9.993307495E2
1.437103902E1,9.993263550E2
1.441103902E1,9.993463745E2
1.445103594E1,9.993768921E2
1.449104089E1,9.993568726E2
1.453106547E1,9.993463745E2
1.457103912E1,9.993270874E2
1.461103881E1,9.993124390E2
1.465103902E1,9.993029175E2
1.469102698E1,9.993226929E2
1.473105464E1,9.994179077E2
1.477103881E1,9.994418335E2
1.481104209E1,9.994577026E2
1.485103907E1,9.994472046E2
1.489103980E1,9.994730835E2
1.493104178E1,9.994481812E2
1.497104084E1,9.994042358E2
1.501103907E1,9.994266968E2
1.505103907E1,9.994340210E2
1.509104037E1,9.994166870E2
1.513125172E1,9.993720093E2
1.517106995E1,9.993363647E2
1.521103928E1,9.993195190E2
1.525103907E1,9.993168335E2
1.529103928E1,9.993153687E2
1.533104219E1,9.993344116E2
1.537104250E1,9.993810425E2
1.541105537E1,9.993793335E2
1.545103928E1,9.993930054E2
1.549103876E1,9.994064331E2
1.553103902E1,9.993903198E2
1.557111917E1,9.994337769E2
1.561132626E1,9.994533081E2
1.565103964E1,9.995160522E2
1.569103907E1,9.995612183E2
1.573103907E1,9.995062866E2
1.577104011E1,9.994608765E2
1.581104271E1,9.994498901E2
1.585103886E1,9.994013062E2
1.589103907E1,9.993788452E2
1.593103876E1,9.993917847E2
1.597103985E1,9.993864136E2
1.601133381E1,9.993878784E2
1.605127917E1,9.994000854E2
1.609103907E1,9.994183960E2
1.613103902E1,9.994249878E2
1.617103902E1,9.994432983E2
1.621104761E1,9.994564819E2
1.625104334E1,9.995062866E2
1.629105636E1,9.995075073E2
1.633103907E1,9.994691772E2
1.637103881E1,9.994423218E2
1.641103938E1,9.993922729E2
1.645151719E1,9.993827515E2
1.649104417E1,9.993734741E2
1.653108026E1,9.995250854E2
1.657105990E1,9.996193237E2
1.661103928E1,9.996488647E2
1.665102735E1,9.996527710E2
1.669104678E1,9.996420288E2
1.673104131E1,9.995614624E2
1.677103902E1,9.994955444E2
1.681103876E1,9.994337769E2
1.685103954E1,9.994100952E2
1.689104224E1,9.994059448E2
1.693106730E1,9.994103394E2
1.697103902E1,9.993751831E2
1.701103902E1,9.993427124E2
1.705103902E1,9.993268433E2
1.709102672E1,9.992997437E2
1.713106646E1,9.993085327E2
1.717103870E1,9.993493042E2
1.721104266E1,9.994657593E2
1.725103907E1,9.995253296E2
1.729103980E1,9.995248413E2
1.733104089E1,9.995040894E2
1.737106547E1,9.994974976E2
1.741103537E1,9.994694214E2
1.745103896E1,9.994323120E2
