"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.619860161E0,4.339657708E-1,-4.934390783E-1,2.230078280E-1,7.200410366E-1,1.285609950E2,-1.452143573E1,6.470881642E1,1.086166667E2
1.636526151E0,4.194471748E-1,-4.690865278E-1,2.527262568E-1,7.349498868E-1,1.304006195E2,-2.918347781E0,6.435869659E1,1.187353156E2
1.653192140E0,4.047323551E-1,-4.382052720E-1,2.824931145E-1,7.512426376E-1,1.322512875E2,8.687615241E0,6.250674382E1,1.286516821E2
1.669858130E0,3.912975464E-1,-4.064303041E-1,3.156418204E-1,7.629356980E-1,1.339294787E2,1.917376497E1,6.013258601E1,1.368637062E2
1.686524120E0,3.785339315E-1,-3.791121840E-1,3.501666486E-1,7.683549523E-1,1.355141989E2,2.824940502E1,5.796080230E1,1.434141152E2
1.703190109E0,3.658553819E-1,-3.573759794E-1,3.833020329E-1,7.690980434E-1,1.370795323E2,3.605219377E1,5.611728998E1,1.488007004E2
1.719856099E0,3.516248792E-1,-3.412021697E-1,4.128136039E-1,7.678059340E-1,1.388265355E2,4.274085781E1,5.451476806E1,1.535839226E2
1.736522088E0,3.352612613E-1,-3.286779225E-1,4.369164109E-1,7.672514319E-1,1.408231482E2,4.821793942E1,5.287489117E1,1.578818792E2
1.753188078E0,3.164719491E-1,-3.177002370E-1,4.564006329E-1,7.685118914E-1,1.431006062E2,5.267696007E1,5.100390179E1,1.618109711E2
1.769854067E0,2.955408456E-1,-3.072609603E-1,4.738139212E-1,7.705495954E-1,1.456200567E2,5.656640756E1,4.890165245E1,1.655269582E2
1.786520057E0,2.733596705E-1,-3.009126782E-1,4.899048507E-1,7.711804509E-1,1.482714299E2,6.017328358E1,4.705065826E1,1.692762178E2
1.803186047E0,2.522389435E-1,-3.009818494E-1,5.049040318E-1,7.686724663E-1,1.507799181E2,6.367202948E1,4.584235994E1,1.730873367E2
1.819852036E0,2.348617088E-1,-3.035570383E-1,5.192706585E-1,7.635778189E-1,1.528330578E2,6.697495357E1,4.503125712E1,1.764781036E2
1.836518026E0,2.220399376E-1,-3.102113605E-1,5.323821306E-1,7.556695342E-1,1.543422467E2,7.015474737E1,4.485012768E1,1.795736310E2
1.853184015E0,2.132076878E-1,-3.227994740E-1,5.427407622E-1,7.455034852E-1,1.553792050E2,7.322323341E1,4.545741249E1,-1.773444512E2
1.869850005E0,2.075956838E-1,-3.414777219E-1,5.504901409E-1,7.329785824E-1,1.560370195E2,7.641836106E1,4.681522196E1,-1.739916281E2
1.886515995E0,1.989771505E-1,-3.685386479E-1,5.546984076E-1,7.189555168E-1,1.570456961E2,8.015384572E1,4.864848387E1,-1.692930698E2
1.903181984E0,1.796169219E-1,-4.009654522E-1,5.544666052E-1,7.067752481E-1,1.593051052E2,8.432360588E1,4.999319408E1,-1.627400998E2
1.919847974E0,1.544229622E-1,-4.329495132E-1,5.532233119E-1,6.947317719E-1,1.622333370E2,8.882735900E1,5.057245438E1,-1.553910984E2
1.936513963E0,1.353079673E-1,-4.633268714E-1,5.505583882E-1,6.811060309E-1,1.644471430E2,9.325966124E1,5.127333369E1,-1.486094212E2
1.953179953E0,1.241980070E-1,-4.924739003E-1,5.443649292E-1,6.676160097E-1,1.657311119E2,9.732666804E1,5.244654100E1,-1.425832583E2
1.969845942E0,1.181700108E-1,-5.178553462E-1,5.376373529E-1,6.548341513E-1,1.664269991E2,1.011307223E2,5.363768740E1,-1.373000514E2
1.986511932E0,1.188836214E-1,-5.379860401E-1,5.346280932E-1,6.407889724E-1,1.663446448E2,1.051147771E2,5.474469275E1,-1.328931092E2
2.003177922E0,1.196218536E-1,-5.537362695E-1,5.354011655E-1,6.264282465E-1,1.662594416E2,1.091144862E2,5.526975722E1,-1.289484173E2
2.019843911E0,1.137419598E-1,-5.702061653E-1,5.349692702E-1,6.129727364E-1,1.669378629E2,1.129377108E2,5.515879626E1,-1.245322881E2
2.036509901E0,1.099603546E-1,-5.892381668E-1,5.296631455E-1,6.001366973E-1,1.673739396E2,1.167830505E2,5.546002301E1,-1.197580105E2
2.053175890E0,1.079572727E-1,-6.106145382E-1,5.190495849E-1,5.882878900E-1,1.676048507E2,1.207175610E2,5.615061082E1,-1.145001390E2
2.069841880E0,1.045218351E-1,-6.322655678E-1,5.080032349E-1,5.755416155E-1,1.680007637E2,1.248938575E2,5.651031283E1,-1.088887498E2
2.086507870E0,1.053635225E-1,-6.501002312E-1,5.011845231E-1,5.613219142E-1,1.679037779E2,1.292383171E2,5.666211406E1,-1.039551049E2
2.103173859E0,1.071263314E-1,-6.628993750E-1,4.950206876E-1,5.514008403E-1,1.677006250E2,1.324129523E2,5.683577511E1,-1.003388212E2
2.119839849E0,1.082345405E-1,-6.708011627E-1,4.877161384E-1,5.481277704E-1,1.675728909E2,1.339688703E2,5.724003954E1,-9.814038648E1
2.136505838E0,1.106737406E-1,-6.763819456E-1,4.779933691E-1,5.493460894E-1,1.672916896E2,1.347307887E2,5.809636732E1,-9.657535647E1
2.153171828E0,1.175281710E-1,-6.825786233E-1,4.663980007E-1,5.502240062E-1,1.665010647E2,1.361207228E2,5.940338476E1,-9.456912619E1
2.169837817E0,1.202607608E-1,-6.895557642E-1,4.567739367E-1,5.490061641E-1,1.661856959E2,1.376489429E2,6.011240926E1,-9.231182101E1
2.186503807E0,1.164922542E-1,-6.947578192E-1,4.526816905E-1,5.466446877E-1,1.666205931E2,1.384076949E2,5.988717748E1,-9.085452224E1
2.203169797E0,1.116406638E-1,-6.981864572E-1,4.526672065E-1,5.432903767E-1,1.671801974E2,1.388717661E2,5.928382431E1,-9.001616021E1
2.219835786E0,1.114680168E-1,-6.985886693E-1,4.527824521E-1,5.427124500E-1,1.672001056E2,1.389907133E2,5.922766794E1,-8.989893204E1
